date, pm25, pm10, o3, no2, co
2020/5/1, 64, 57, 48, 36, 59
2020/5/2, 59, 62, 38, 14, 53
2020/5/3, 60, , 30, 17, 60
2020/4/1, 48, 47, 43, 19, 53
2020/4/2, 51, 60, 45, 19, 53
2020/4/3, 61, 63, 44, 17, 66
2020/4/4, 65, 71, 45, 17, 58
2020/4/5, 72, 61, 41, 16, 59
2020/4/6, 63, 61, 37, 16, 57
2020/4/7, 66, 58, 30, 16, 46
2020/4/8, 62, 60, 33, 17, 50
2020/4/9, 62, 68, 40, 17, 58
2020/4/10, 72, 78, 44, 17, 57
2020/4/11, 82, 57, 41, 17, 56
2020/4/12, 60, 58, 41, 17, 60
2020/4/13, 62, 63, 36, 17, 59
2020/4/14, 68, 64, 42, 17, 69
2020/4/15, 73, 53, 39, 16, 57
2020/4/16, 60, 53, 44, 16, 67
2020/4/17, 61, 52, 46, 16, 65
2020/4/18, 59, 53, 44, 18, 62
2020/4/19, 58, 54, 44, 27, 62
2020/4/20, 59, 54, 44, 27, 62
2020/4/21, 59, 54, 44, 27, 62
2020/4/22, 59, 54, 44, 27, 62
2020/4/23, 59, 54, 44, 27, 62
2020/4/24, 59, 54, 44, 27, 62
2020/4/25, 59, 54, 44, 27, 62
2020/4/26, 59, 54, , , 
2020/4/27, 59, , , , 
2020/3/1, 106, 98, 47, 35, 39
2020/3/2, 95, 85, 34, 31, 39
2020/3/3, 83, 84, 42, 27, 37
2020/3/4, 82, 100, 47, 27, 46
2020/3/5, 99, 85, 36, 23, 52
2020/3/6, 84, 70, 30, 21, 51
2020/3/7, 71, 90, 41, 28, 57
2020/3/8, 90, 96, 37, 31, 55
2020/3/9, 96, 83, 35, 28, 55
2020/3/10, 83, 52, 35, 18, 74
2020/3/11, 55, 48, 44, 22, 66
2020/3/12, 51, 55, 44, 24, 57
2020/3/13, 58, 86, 46, 32, 57
2020/3/14, 87, 117, 54, 37, 56
2020/3/15, 144, 106, 51, 42, 60
2020/3/16, 115, 96, 65, 42, 53
2020/3/17, 96, 98, 52, 40, 59
2020/3/18, 97, 82, 44, 24, 63
2020/3/19, 83, 74, 38, 26, 58
2020/3/20, 75, 80, 38, 22, 58
2020/3/21, 81, 71, 41, 23, 56
2020/3/22, 72, 57, 48, 19, 60
2020/3/23, 59, 72, 51, 20, 68
2020/3/24, 73, 68, 50, 19, 64
2020/3/25, 69, 36, 42, 19, 65
2020/3/26, 39, 41, 44, 20, 64
2020/3/27, 44, 53, 43, 21, 58
2020/3/28, 55, 55, 47, 22, 62
