date,state,pm2_5, pm10, o3,no2,so2, co,AQI
5/1/2020,gujarat,85,53,54,6,12,4,135.8333333
5/2/2020,gujarat,72,54,55,6,8,5,113.5
5/3/2020,gujarat,75,54,53,5,9,7,117.5
5/4/2020,gujarat,68, , ,0,0, ,90.66666667
4/1/2020,gujarat,79,67,32,12,8,2,130.3333333
4/2/2020,gujarat,80,66,39,18,10,6,141.6666667
4/3/2020,gujarat,94,65,47,17,13,3,162.8333333
4/4/2020,gujarat,107,66,46,18,13,3,181.4166667
4/5/2020,gujarat,116,70,42,12,9,2,180.9166667
4/6/2020,gujarat,121,74,44,7,13,3,186.3333333
4/7/2020,gujarat,116,67,141,6,14,2,179.6666667
4/8/2020,gujarat,102,68,39,10,9,2,159.75
4/9/2020,gujarat,95,62,37,12,13,3,157.9166667
4/10/2020,gujarat,90,59,34,15,12,3,153.75
4/11/2020,gujarat,90,58,38,11,8,2,143.75
4/12/2020,gujarat,79,51,39,11,12,3,134.0833333
4/13/2020,gujarat,186,58,35,10,11,2,274.25
4/14/2020,gujarat,92,55,34,8,9,3,143.9166667
4/15/2020,gujarat,75,64,38,19,11,4,137.5
4/16/2020,gujarat,114,61,38,11,7,2,174.5
4/17/2020,gujarat,88,70,35,8,15,3,146.0833333
4/18/2020,gujarat,89,54,36,6,10,2,138.6666667
4/19/2020,gujarat,69,61,33,6,12,2,114.5
4/20/2020,gujarat,87,60,33,7,7,3,133.5
4/21/2020,gujarat,92,70,37,7,8,3,141.4166667
4/22/2020,gujarat,94,63,38,6,15,2,151.5833333
4/23/2020,gujarat,92,63,43,10,8,2,145.1666667
4/24/2020,gujarat,85,57,37,5,8,3,129.5833333
4/25/2020,gujarat,83,59,41,5,3,3,120.6666667
4/26/2020,gujarat,80,64,48,8,13,3,132.9166667
4/27/2020,gujarat,92,65,48,11,19,3,160.1666667
4/28/2020,gujarat,94,61,51,10,14,5,155.3333333
4/29/2020,gujarat,83,60,55,7,16,3,139.4166667
4/30/2020,gujarat,83,67,50,5,12,4,131.9166667
3/1/2020,gujarat,128,98,23,28,35,9,249.4166667
3/2/2020,gujarat,134,112,11,30,71,11,304.9166667
3/3/2020,gujarat,164,85,39,13,28,6,269.9166667
3/4/2020,gujarat,120,80,29,10,32,4,212.5
3/5/2020,gujarat,113,87,25,13,37,4,213.1666667
3/6/2020,gujarat,127,92,36,18,18,4,214.3333333
3/7/2020,gujarat,122,68, ,22,19,5,213.9166667
3/8/2020,gujarat,189,68,35,13,17,4,289.5
3/9/2020,gujarat,103,69,6,7,11,3,159.8333333
3/10/2020,gujarat,102,64,6,9,9,2,158.5
3/11/2020,gujarat,92,79,7,13,17,2,160.1666667
3/12/2020,gujarat,104,72,33,11,10,2,164.9166667
3/13/2020,gujarat,108,78,31,15,21,3,189
3/14/2020,gujarat,111,80,25,14,13,2,181.75
3/15/2020,gujarat,110,67,40,15,12,3,180.4166667
3/16/2020,gujarat,103,82,38,16,15,6,176.0833333
3/17/2020,gujarat,130,84,42,19,18,6,219.5833333
3/18/2020,gujarat,137,101,25,19,31,4,245.1666667
3/19/2020,gujarat,175,72,25,14,27,3,284.5833333
3/20/2020,gujarat,116,89,28,13,39,5,219.6666667
3/21/2020,gujarat,155,85,23,7,20,6,240.4166667
3/22/2020,gujarat,122,76,39,14,15,3,198.9166667
3/23/2020,gujarat,112,71,38,10,20,4,186.8333333
3/24/2020,gujarat,93,69,28,16,26,11,176.5
3/25/2020,gujarat,99,67,32,10,14,2,162
3/26/2020,gujarat,111,33,26,8,7,3,166.75
3/27/2020,gujarat,77,59,30,16,7,2,131.4166667
3/28/2020,gujarat,101,61,29,12,10,3,162.1666667
3/29/2020,gujarat,71,67,26,16,8,2,124.6666667
3/30/2020,gujarat,86,71,31,9,15,2,144.6666667
3/31/2020,gujarat,86,66,29,9,10,3,138.4166667
2/1/2020,gujarat,136,70,10,17,16,6,222.5833333
2/2/2020,gujarat,128,76,29,21,14,7,214.4166667
2/3/2020,gujarat,146,87,30,26,22,7,254.6666667
2/4/2020,gujarat,156,92,23,27,27,7,275.5
2/5/2020,gujarat,157,81,25,25,24,5,270.5833333
2/6/2020,gujarat,134,89,27,24,22,10,236.1666667
2/7/2020,gujarat,149,94,29,23,21,4,253.6666667
2/8/2020,gujarat,272,84,16,18,12,5,400.1666667
2/9/2020,gujarat,157,82,31,23,15,6,256.8333333
2/10/2020,gujarat,149,95,29,25,22,7,257.4166667
2/11/2020,gujarat,161,114,33,24,25,11,275.9166667
2/12/2020,gujarat,163,110,32,21,17,5,264.8333333
2/13/2020,gujarat,163,81,12,26,24,6,279.8333333
2/14/2020,gujarat,128,91,31,30,27,7,241.9166667
2/15/2020,gujarat,156,84,31,29,28,6,279.25
2/16/2020,gujarat,140,104,35,20,25,10,242.9166667
2/17/2020,gujarat,122,102,35,26,30,13,232.6666667
2/18/2020,gujarat,155,122,62,32,67,7,330.4166667
2/19/2020,gujarat,174,106,33,32,50,6,334.5
2/20/2020,gujarat,138,85,29,23,33,4,254
2/21/2020,gujarat,128,72,36,24,19,5,224.4166667
2/22/2020,gujarat,104,75,21,24,20,5,193.6666667
2/23/2020,gujarat,138,94,37,34,19,5,250.25
2/24/2020,gujarat,147,139,35,44,42,9,303.5
2/25/2020,gujarat,153,157,24,58,62,12,354
2/26/2020,gujarat,196,109,33,43,35,15,358.8333333
