date,state,pm2_5, pm10, o3,no2,so2, co,AQI
5/1/2020,haryana,151, ,50,0,2,5,203.8333333
5/2/2020,haryana,102, ,29,0,2,5,138.5
5/3/2020,haryana,110, , ,0,0, ,146.6666667
4/1/2020,haryana,85, ,43,0,3,4,117.0833333
4/2/2020,haryana,59, ,56,0,3,3,82.41666667
4/3/2020,haryana,76, ,51,0,3,3,105.0833333
4/4/2020,haryana,91, ,65,0,4,5,126.3333333
4/5/2020,haryana,118, ,48,0,2,5,159.8333333
4/6/2020,haryana,114, ,48,0,3,3,155.75
4/7/2020,haryana,88, ,50,0,2,2,119.8333333
4/8/2020,haryana,77, ,60,0,2,3,105.1666667
4/9/2020,haryana,86, ,65,0,3,4,118.4166667
4/10/2020,haryana,114, ,75,0,3,6,155.75
4/11/2020,haryana,123, ,58,0,1,3,165.25
4/12/2020,haryana,87, ,57,0,2,4,118.5
4/13/2020,haryana,120, ,64,0,2,6,162.5
4/14/2020,haryana,125, ,52,0,3,4,170.4166667
4/15/2020,haryana,143, ,75,0,3,5,194.4166667
4/16/2020,haryana,133, ,53,0,1,3,178.5833333
4/17/2020,haryana,75, ,55,0,2,3,102.5
4/18/2020,haryana,78, ,60,0, ,2,#VALUE!
4/19/2020,haryana,76, ,42,0,2,4,103.8333333
4/20/2020,haryana,106, ,66,0,3,3,145.0833333
4/21/2020,haryana,88, ,71,0,2,3,119.8333333
4/22/2020,haryana,112, ,48,0,2,6,151.8333333
4/23/2020,haryana,137, ,74,0,2,6,185.1666667
4/24/2020,haryana,138, ,65,0,1,3,185.25
4/25/2020,haryana,87, ,34,0,2,4,118.5
4/26/2020,haryana,119, ,59,0,2,3,161.1666667
4/27/2020,haryana,86, ,63,0,1,2,115.9166667
4/28/2020,haryana,107, ,76,0,2,5,145.1666667
4/29/2020,haryana,135, ,67,0,3,4,183.75
4/30/2020,haryana,132, ,53,0,2,5,178.5
3/1/2020,haryana,87, ,67,0,16,17,136
3/2/2020,haryana,168, , ,0,7,25,232.75
3/3/2020,haryana,196, ,29,0,7,6,270.0833333
3/4/2020,haryana,119, ,30,0,6,4,166.1666667
3/5/2020,haryana,89, ,27,0,4,6,123.6666667
3/6/2020,haryana,50, ,34,0,8,7,76.66666667
3/7/2020,haryana,110, ,42,0,6,8,154.1666667
3/8/2020,haryana,138, ,41,0,6,5,191.5
3/9/2020,haryana,141, ,53,0,7,7,196.75
3/10/2020,haryana,179, ,52,0,13,5,254.9166667
3/11/2020,haryana,122, ,33,0,4,5,167.6666667
3/12/2020,haryana,137, ,43,0,6,4,190.1666667
3/13/2020,haryana,130, ,30,0,3,6,177.0833333
3/14/2020,haryana,107, ,45,0,2,5,145.1666667
3/15/2020,haryana,121, ,57,0,4,6,166.3333333
3/16/2020,haryana,136, ,60,0,5,7,187.5833333
3/17/2020,haryana,137, ,55,0,6,9,190.1666667
3/18/2020,haryana,141, ,56,0,6,10,195.5
3/19/2020,haryana,157, ,63,0,8,10,219.3333333
3/20/2020,haryana,165, ,82,0,8,8,230
3/21/2020,haryana,143, ,62,0,2,6,193.1666667
3/22/2020,haryana,141, ,60,0,3,5,191.75
3/23/2020,haryana,121, ,47,0,2,7,163.8333333
3/24/2020,haryana,136, ,40,0,1,4,182.5833333
3/25/2020,haryana,91, ,26,0,2,2,123.8333333
3/26/2020,haryana,87, ,27,0,2,4,118.5
3/27/2020,haryana,69, ,35,0,1,2,93.25
3/28/2020,haryana,55, ,39,0,2,2,75.83333333
3/29/2020,haryana,64, ,44,0,2,3,87.83333333
3/30/2020,haryana,82, ,47,0,1,3,110.5833333
3/31/2020,haryana,81, ,49,0,2,3,110.5
2/1/2020,haryana,166, ,43,0,4,16,226.3333333
2/2/2020,haryana,170, ,54,0,14,16,244.1666667
2/3/2020,haryana,171, ,63,0,21,21,254.25
2/4/2020,haryana,215, ,55,0,22,14,314.1666667
2/5/2020,haryana,188, ,66,0,24,13,280.6666667
2/6/2020,haryana,171, ,48,0,22,15,255.5
2/7/2020,haryana,211, ,45,0,6,15,288.8333333
2/8/2020,haryana,187, ,58,0,6,14,256.8333333
2/9/2020,haryana,192, ,70,0,11,15,269.75
2/10/2020,haryana,208, ,58,0,18,22,299.8333333
2/11/2020,haryana,201, ,63,0,27,13,301.75
2/12/2020,haryana,178, ,39,0,22,10,264.8333333
2/13/2020,haryana,142, ,42,0,15,20,208.0833333
2/14/2020,haryana,134, ,55,0,21,19,204.9166667
