date,state,pm2_5, pm10, o3,no2,so2, co,AQI
5/1/2020,kerala,34,10,21,1,6,5,54.08333333
5/2/2020,kerala,34, ,16,0,6,5,52.83333333
5/3/2020,kerala,41,16,18,2,8,5,67.16666667
5/4/2020,kerala,63, , ,0,0, ,84
4/1/2020,kerala,60,49,18,2,6,5,90
4/2/2020,kerala,73,47,18,3,5,5,107.3333333
4/3/2020,kerala,72,46,17,3,6,5,107.25
4/4/2020,kerala,76,39,18,3,6,5,112.5833333
4/5/2020,kerala,63,19,9,2,4,2,91.5
4/6/2020,kerala,34,26,14,3,6,4,56.58333333
4/7/2020,kerala,34,27,15,3,6,5,56.58333333
4/8/2020,kerala,40,36,15,1,6,5,62.08333333
4/9/2020,kerala,39,37,14,2,6,5,62
4/10/2020,kerala,38,43,13,2,6,5,60.66666667
4/11/2020,kerala,48,38,12,1,5,5,71.5
4/12/2020,kerala,48,45,13,1,6,6,72.75
4/13/2020,kerala,53,42,12,1,6,5,79.41666667
4/14/2020,kerala,49,27,12,0,6,5,72.83333333
4/15/2020,kerala,35,17,12,1,6,5,55.41666667
4/16/2020,kerala,17,17,11,1,6,5,31.41666667
4/17/2020,kerala,21,13,31,1,5,5,35.5
4/18/2020,kerala,20,13,9,1,5,4,34.16666667
4/19/2020,kerala,32,16,11,2,6,5,52.66666667
4/20/2020,kerala,39,22,12,2,6,5,62
4/21/2020,kerala,21,21,13,2,6,5,38
4/22/2020,kerala,24,26,12,1,6,5,40.75
4/23/2020,kerala,31,33,13,1,6,5,50.08333333
4/24/2020,kerala,36,34,10,2,6,5,58
4/25/2020,kerala,42,43,14,1,6,5,64.75
4/26/2020,kerala,46,25,18,2,6,5,71.33333333
4/27/2020,kerala,35,30,16,2,6,5,56.66666667
4/28/2020,kerala,50,26,15,3,6,5,77.91666667
4/29/2020,kerala,46,36,17,2,6,6,71.33333333
4/30/2020,kerala,49,32,18,1,5,5,72.83333333
3/1/2020,kerala,82,46,21,9,7,21,129.3333333
3/2/2020,kerala,77,37,12,6,2,33,112.6666667
3/3/2020,kerala,79,48,17,7,6,32,121.5833333
3/4/2020,kerala,111,48,20,8,7,22,166.75
3/5/2020,kerala,113,44,21,7,6,8,166.9166667
3/6/2020,kerala,77,45,16,9,5,8,120.1666667
3/7/2020,kerala,81,44,15,5,7,7,123
3/8/2020,kerala,84,41,19,6,4,7,124.5
3/9/2020,kerala,72,48,18,10,7,8,117.25
3/10/2020,kerala,95,43,21,7,6,7,142.9166667
3/11/2020,kerala,83,47,20,8,8,8,130.6666667
3/12/2020,kerala,83,45,24,8,7,7,129.4166667
3/13/2020,kerala,81,49,25,6,7,7,124.25
3/14/2020,kerala,107,48,22,4,6,6,155.1666667
3/15/2020,kerala,87,50,22,7,7,7,133.5
3/16/2020,kerala,91,54,20,7,7,7,138.8333333
3/17/2020,kerala,115,37,19,7,7,6,170.8333333
3/18/2020,kerala,65,41,20,6,4,7,99.16666667
3/19/2020,kerala,86,45,23,5,6,7,128.4166667
3/20/2020,kerala,77,45,19,5,5,6,115.1666667
3/21/2020,kerala,77,41,18,4,6,5,115.1666667
3/22/2020,kerala,84,40,16,4,6,6,124.5
3/23/2020,kerala,69,32,16,3,6,5,103.25
3/24/2020,kerala,68,36,15,2,6,5,100.6666667
3/25/2020,kerala,69,38,17,3,6,5,103.25
3/26/2020,kerala,80,39,13,2,3,6,112.9166667
3/27/2020,kerala,84,39,19,2,4,5,119.5
3/28/2020,kerala,48,38,15,3,6,5,75.25
3/29/2020,kerala,51,44,16,3,6,6,79.25
3/30/2020,kerala,66,44,18,3,5,5,98
3/31/2020,kerala,67,45,17,3,5,5,99.33333333
2/1/2020,kerala,118,51,26,8,6,7,174.8333333
2/2/2020,kerala,98,56,25,10,6,9,150.6666667
2/3/2020,kerala,104,46,23,9,7,8,158.6666667
2/4/2020,kerala,100,53,24,8,7,8,152.0833333
2/5/2020,kerala,107,51,27,8,7,7,161.4166667
2/6/2020,kerala,83,48,22,7,7,8,128.1666667
2/7/2020,kerala,101,53,27,8,7,8,153.4166667
2/8/2020,kerala,109,55,34,9,8,9,166.5833333
2/9/2020,kerala,107,97,28,9,8,10,163.9166667
2/10/2020,kerala,163,56,24,11,8,9,241.0833333
2/11/2020,kerala,109,54,25,10,8,9,167.8333333
2/12/2020,kerala,101,56,24,10,7,11,155.9166667
2/13/2020,kerala,114,53,24,8,7,11,170.75
2/14/2020,kerala,112,56,22,9,6,12,168.0833333
2/15/2020,kerala,108,66,26,7,7,11,161.5
2/16/2020,kerala,134,62,28,9,7,12,198.6666667
2/17/2020,kerala,138,55,29,10,7,10,205.25
2/18/2020,kerala,110,54,31,10,8,8,169.1666667
2/19/2020,kerala,101,58,25,12,5,11,155.9166667
