date,state,pm2_5, pm10, o3,no2, co,AQI
5/1/2020,maharashtra,64,57,48,36,59,204.0833333
5/2/2020,maharashtra,59,62,38,14,53,162.4166667
5/3/2020,maharashtra,60, ,30,17,60,176.25
4/1/2020,maharashtra,48,47,43,19,53,154
4/2/2020,maharashtra,51,60,45,19,53,158
4/3/2020,maharashtra,61,63,44,17,66,185.0833333
4/4/2020,maharashtra,65,71,45,17,58,180.4166667
4/5/2020,maharashtra,72,61,41,16,59,189.75
4/6/2020,maharashtra,63,61,37,16,57,175.25
4/7/2020,maharashtra,66,58,30,16,46,165.5
4/8/2020,maharashtra,62,60,33,17,50,166.4166667
4/9/2020,maharashtra,62,68,40,17,58,176.4166667
4/10/2020,maharashtra,72,78,44,17,57,188.5
4/11/2020,maharashtra,82,57,41,17,56,200.5833333
4/12/2020,maharashtra,60,58,41,17,60,176.25
4/13/2020,maharashtra,62,63,36,17,59,177.6666667
4/14/2020,maharashtra,68,64,42,17,69,198.1666667
4/15/2020,maharashtra,73,53,39,16,57,188.5833333
4/16/2020,maharashtra,60,53,44,16,67,183.75
4/17/2020,maharashtra,61,52,46,16,65,182.5833333
4/18/2020,maharashtra,59,53,44,18,62,178.6666667
4/19/2020,maharashtra,58,54,44,27,62,188.5833333
4/20/2020,maharashtra,59,54,44,27,62,189.9166667
4/21/2020,maharashtra,59,54,44,27,62,189.9166667
4/22/2020,maharashtra,59,54,44,27,62,189.9166667
4/23/2020,maharashtra,59,54,44,27,62,189.9166667
4/24/2020,maharashtra,59,54,44,27,62,189.9166667
4/25/2020,maharashtra,59,54,44,27,62,189.9166667
4/26/2020,maharashtra,59,54, ,0,0,78.66666667
4/27/2020,maharashtra,59, , ,0,0,78.66666667
3/1/2020,maharashtra,106,98,47,35,39,233.8333333
3/2/2020,maharashtra,95,85,34,31,39,214.1666667
3/3/2020,maharashtra,83,84,42,27,37,190.6666667
3/4/2020,maharashtra,82,100,47,27,46,200.5833333
3/5/2020,maharashtra,99,85,36,23,52,225.75
3/6/2020,maharashtra,84,70,30,21,51,202
3/7/2020,maharashtra,71,90,41,28,57,200.9166667
3/8/2020,maharashtra,90,96,37,31,55,227.5
3/9/2020,maharashtra,96,83,35,28,55,231.75
3/10/2020,maharashtra,83,52,35,18,74,225.6666667
3/11/2020,maharashtra,55,48,44,22,66,183.3333333
3/12/2020,maharashtra,51,55,44,24,57,169.25
3/13/2020,maharashtra,58,86,46,32,57,188.5833333
3/14/2020,maharashtra,87,117,54,37,56,232.25
3/15/2020,maharashtra,144,106,51,42,60,319.5
3/16/2020,maharashtra,115,96,65,42,53,272.0833333
3/17/2020,maharashtra,96,98,52,40,59,251.75
3/18/2020,maharashtra,97,82,44,24,63,238.0833333
3/19/2020,maharashtra,83,74,38,26,58,215.6666667
3/20/2020,maharashtra,75,80,38,22,58,200
3/21/2020,maharashtra,81,71,41,23,56,206.75
3/22/2020,maharashtra,72,57,48,19,60,194.75
3/23/2020,maharashtra,59,72,51,20,68,188.6666667
3/24/2020,maharashtra,73,68,50,19,64,201.0833333
3/25/2020,maharashtra,69,36,42,19,65,197
3/26/2020,maharashtra,39,41,44,20,64,157
3/27/2020,maharashtra,44,53,43,21,58,157.4166667
3/28/2020,maharashtra,55,55,47,22,62,178.3333333
3/29/2020,maharashtra,57,66,47,21,56,172.25
3/30/2020,maharashtra,65,56,54,18,62,186.6666667
3/31/2020,maharashtra,56,45,49,20,57,170.9166667
2/1/2020,maharashtra,184,106,43,43,48,359.0833333
2/2/2020,maharashtra,119,89,39,32,35,242.4166667
2/3/2020,maharashtra,86,86,37,27,32,188.4166667
2/4/2020,maharashtra,84,105,48,34,34,197
2/5/2020,maharashtra,117,114,43,38,35,247.25
2/6/2020,maharashtra,129,107,43,36,32,257
2/7/2020,maharashtra,112,108,39,36,34,236.8333333
2/8/2020,maharashtra,113,104,30,43,36,249.4166667
2/9/2020,maharashtra,109,82,20,44,33,241.5833333
2/10/2020,maharashtra,80,75,18,44,34,204.1666667
2/11/2020,maharashtra,73,100,22,35,53,207.3333333
2/12/2020,maharashtra,103,115,25,33,33,219.8333333
2/13/2020,maharashtra,134,124,42,43,35,276.1666667
2/14/2020,maharashtra,159,112,47,50,35,318.25
2/15/2020,maharashtra,126,118,42,52,37,279.25
2/16/2020,maharashtra,143,124,33,63,34,311.9166667
2/17/2020,maharashtra,162,141,41,63,35,338.5
2/18/2020,maharashtra,208,127,38,62,36,399.8333333
2/19/2020,maharashtra,168,127,49,58,38,344
2/20/2020,maharashtra,169,119,53,43,36,324.0833333
2/21/2020,maharashtra,144,108,46,49,38,300.75
2/22/2020,maharashtra,114,112,55,51,38,263.25
2/23/2020,maharashtra,126,109,49,45,36,269.25
2/24/2020,maharashtra,117,110,39,47,35,258.5
2/25/2020,maharashtra,120,102,29,46,37,263.75
2/26/2020,maharashtra,102,126,36,36,38,228.5
2/27/2020,maharashtra,169,124,47,52,39,339.0833333
2/28/2020,maharashtra,163,115,51,47,42,328.5833333
2/29/2020,maharashtra,137,104,54,40,37,278.9166667
1/1/2020,maharashtra,133,108,38,33,36,263.5833333
1/2/2020,maharashtra,113,101,42,29,36,231.9166667
1/3/2020,maharashtra,99,118,40,33,34,215.75
1/4/2020,maharashtra,144,115,31,30,36,274.5
1/5/2020,maharashtra,135,95,33,26,39,261.25
1/6/2020,maharashtra,92,123,39,24,35,196.4166667
1/7/2020,maharashtra,161,102,41,24,36,289.6666667
1/8/2020,maharashtra,117,84,42,25,45,243.5
1/9/2020,maharashtra,82,91,30,38,51,220.5833333
1/10/2020,maharashtra,90,110,34,28,32,195
1/11/2020,maharashtra,121,134,39,28,33,237.5833333
1/12/2020,maharashtra,187,119,45,34,34,334.3333333
1/13/2020,maharashtra,146,94,42,26,33,268.4166667
1/14/2020,maharashtra,92,90,49,27,32,196.4166667
1/15/2020,maharashtra,87,85,46,28,32,191
1/16/2020,maharashtra,83,78,38,31,30,186.9166667
1/17/2020,maharashtra,77,121,45,33,33,185.1666667
1/18/2020,maharashtra,151,128,50,40,35,295.0833333
1/19/2020,maharashtra,170,123,47,42,35,322.9166667
1/20/2020,maharashtra,155,121,52,35,35,294.1666667
1/21/2020,maharashtra,155,89,48,34,35,292.9166667
1/22/2020,maharashtra,87,113,31,44,35,214.75
1/23/2020,maharashtra,128,101,35,33,33,253.1666667
1/24/2020,maharashtra,118,84,47,37,34,246.0833333
1/25/2020,maharashtra,84,84,54,49,39,222
1/26/2020,maharashtra,84,81,48,36,38,204.5
1/27/2020,maharashtra,80,75,36,26,35,182.9166667
1/28/2020,maharashtra,74,66,33,22,34,168.6666667
1/29/2020,maharashtra,65,96,51,29,33,164.1666667
1/30/2020,maharashtra,96,123,54,36,35,216.75
1/31/2020,maharashtra,158,132,52,39,31,298.1666667
10/1/2019,maharashtra,31,33,40,19,31,103.8333333
10/2/2019,maharashtra,34,45,48,29,32,121.5833333
10/3/2019,maharashtra,45,45,39,33,33,142.5
10/4/2019,maharashtra,46,37,43,27,32,135.0833333
10/5/2019,maharashtra,38,51,51,36,30,133.1666667
10/6/2019,maharashtra,51,52,53,42,32,160.5
10/7/2019,maharashtra,52,63,43,44,36,169.3333333
10/8/2019,maharashtra,63,50,43,40,30,171.5
10/9/2019,maharashtra,50,47,46,41,30,155.4166667
10/10/2019,maharashtra,48,55,42,43,32,157.75
10/11/2019,maharashtra,54,73,45,42,33,165.75
10/12/2019,maharashtra,75,105,45,36,33,186.25
10/13/2019,maharashtra,125,58,35,37,33,254.1666667
10/14/2019,maharashtra,57,85,36,50,49,199.75
10/15/2019,maharashtra,83,86,37,48,32,210.6666667
10/16/2019,maharashtra,84,98,41,41,41,214.5
10/17/2019,maharashtra,94,86,28,46,39,231.5833333
10/18/2019,maharashtra,83,43,22,38,32,198.1666667
10/19/2019,maharashtra,44,17,22,30,32,136.1666667
10/20/2019,maharashtra,19,20,29,30,33,104.0833333
10/21/2019,maharashtra,22,24,39,35,32,113.0833333
10/22/2019,maharashtra,26,24,29,25,34,108.4166667
10/23/2019,maharashtra,26,28,28,24,32,104.6666667
10/24/2019,maharashtra,37,57,23,19,32,113.0833333
10/25/2019,maharashtra,70,33,24,31,33,173.3333333
10/26/2019,maharashtra,34,40,32,28,32,120.3333333
10/27/2019,maharashtra,41,74,27,29,34,133.4166667
10/28/2019,maharashtra,72,48,33,33,34,179.75
10/29/2019,maharashtra,48,56,34,37,35,154
10/30/2019,maharashtra,56,34,27,39,34,165.9166667
10/31/2019,maharashtra,35,28,19,37,31,131.6666667
11/1/2019,maharashtra,30,39,33,45,32,136.25
11/2/2019,maharashtra,40,53,43,29,34,132.0833333
11/3/2019,maharashtra,52,36,41,36,47,173.0833333
11/4/2019,maharashtra,37,46,44,38,39,145.5833333
11/5/2019,maharashtra,47,50,52,43,32,156.4166667
11/6/2019,maharashtra,50,55,43,36,32,151.6666667
11/7/2019,maharashtra,55,40,32,33,33,155.8333333
11/8/2019,maharashtra,39,35,39,31,36,135.75
11/9/2019,maharashtra,36,52,30,31,34,129.25
11/10/2019,maharashtra,52,59,29,40,35,163.0833333
11/11/2019,maharashtra,58,59,29,45,35,177.3333333
11/12/2019,maharashtra,58,59,34,54,36,189.8333333
11/13/2019,maharashtra,58,106,21,43,35,174.8333333
11/14/2019,maharashtra,107,107,21,42,35,238.9166667
11/15/2019,maharashtra,109,100,41,54,32,252.8333333
11/16/2019,maharashtra,104,96,48,64,31,257.4166667
11/17/2019,maharashtra,101,103,48,55,36,248.4166667
11/18/2019,maharashtra,106,135,63,36,36,231.3333333
11/19/2019,maharashtra,195,138,53,49,35,365
11/20/2019,maharashtra,199,134,46,48,33,366.5833333
11/21/2019,maharashtra,188,119,47,42,33,344.4166667
11/22/2019,maharashtra,146,123,44,40,34,287.1666667
11/23/2019,maharashtra,157,128,49,37,34,298.0833333
11/24/2019,maharashtra,171,121,38,50,37,336.75
11/25/2019,maharashtra,150,120,41,46,36,302.5
11/26/2019,maharashtra,144,109,38,44,37,293.25
11/27/2019,maharashtra,118,115,44,36,34,244.8333333
11/28/2019,maharashtra,133,114,44,48,35,281.0833333
11/29/2019,maharashtra,131,117,24,50,33,278.4166667
11/30/2019,maharashtra,138, , , , ,#VALUE!
12/2/2019,maharashtra,105,70,26,35,35,227.5
12/3/2019,maharashtra,70,64,30,43,36,192.0833333
12/4/2019,maharashtra,63,97,37,57,37,201.5
12/5/2019,maharashtra,96,111,47,59,34,244.25
12/6/2019,maharashtra,123,107,52,54,35,275.25
12/7/2019,maharashtra,111,114,58,50,37,256.75
12/8/2019,maharashtra,132,102,48,51,35,283.5
12/9/2019,maharashtra,104,104,48,49,35,243.6666667
12/10/2019,maharashtra,105,107,48,48,38,247.5
12/11/2019,maharashtra,111,106,53,49,38,256.75
12/12/2019,maharashtra,108,95,49,43,37,244
12/13/2019,maharashtra,93,95,54,44,35,222.75
12/14/2019,maharashtra,94,109,59,48,36,230.3333333
12/15/2019,maharashtra,118,114,56,47,44,271.0833333
12/16/2019,maharashtra,131,113,45,40,40,274.6666667
12/17/2019,maharashtra,129,97,49,34,40,264.5
12/18/2019,maharashtra,94,114,40,29,37,207.8333333
12/19/2019,maharashtra,130,129,44,34,35,259.5833333
12/20/2019,maharashtra,175,136,37,39,36,327.0833333
12/21/2019,maharashtra,195,127,30,41,35,355
12/22/2019,maharashtra,167,119,37,45,36,323.9166667
12/23/2019,maharashtra,145,142,46,42,39,294.5833333
12/24/2019,maharashtra,210,127,53,40,37,376.25
12/25/2019,maharashtra,167,114,43,40,37,318.9166667
12/26/2019,maharashtra,132,102,40,32,38,263.5
12/27/2019,maharashtra,101,110,33,35,36,223.4166667
12/28/2019,maharashtra,121,97,50,40,37,257.5833333
12/29/2019,maharashtra,94, , , , ,#VALUE!
7/1/2019,maharashtra,13,10,46,28,35,96.08333333
7/2/2019,maharashtra,11,26,49,27,33,89.66666667
7/3/2019,maharashtra,19,69,34,25,33,97.83333333
7/4/2019,maharashtra,21,77,58,25,32,99.25
7/5/2019,maharashtra,25,54,57,25,32,104.5833333
7/6/2019,maharashtra,28,54,57,27,32,111.0833333
7/7/2019,maharashtra,28,54,57,27,32,111.0833333
7/8/2019,maharashtra,28,54,57,27,32,111.0833333
7/9/2019,maharashtra,28,54,57,27,32,111.0833333
7/10/2019,maharashtra,28,54,57,27,32,111.0833333
7/11/2019,maharashtra,28,54,57,27,32,111.0833333
7/12/2019,maharashtra,28,54,57,27,32,111.0833333
7/13/2019,maharashtra,28,54,57,27,32,111.0833333
7/14/2019,maharashtra,28,54,57,27,32,111.0833333
7/15/2019,maharashtra,28,54,57,24,32,107.3333333
7/16/2019,maharashtra,28,54,57,21,32,103.5833333
7/17/2019,maharashtra,28,54,57,21,32,103.5833333
7/18/2019,maharashtra,28,54,57,21,32,103.5833333
7/19/2019,maharashtra,28,54,57,21,32,103.5833333
7/20/2019,maharashtra,28,54,57,21,32,103.5833333
7/21/2019,maharashtra,28,54,57,21,32,103.5833333
7/22/2019,maharashtra,28,54,57,21,32,103.5833333
7/23/2019,maharashtra,28,54,57,21,32,103.5833333
7/24/2019,maharashtra,28,54,57,21,32,103.5833333
7/25/2019,maharashtra,28,54,57,21,32,103.5833333
7/26/2019,maharashtra,28,28,53,41,28,123.5833333
7/27/2019,maharashtra,21,18,51,23,27,90.5
7/28/2019,maharashtra,15,28,52,21,26,78.75
7/29/2019,maharashtra,20,21,46,20,29,87.91666667
7/30/2019,maharashtra,16,11,43,20,29,82.58333333
7/31/2019,maharashtra,11,14,46,20,31,78.41666667
8/1/2019,maharashtra,13,11,42,19,29,77.33333333
8/2/2019,maharashtra,11,8,44,18,31,75.91666667
8/3/2019,maharashtra,9,5,48,18,29,70.75
8/4/2019,maharashtra,8,11,47,18,28,68.16666667
8/5/2019,maharashtra,11,11,44,17,29,72.16666667
8/6/2019,maharashtra,11,19,47,16,29,70.91666667
8/7/2019,maharashtra,15,29,50,18,29,78.75
8/8/2019,maharashtra,20,32,50,20,29,87.91666667
8/9/2019,maharashtra,29,28,50,18,29,97.41666667
8/10/2019,maharashtra,69,25,46,16,32,152
8/11/2019,maharashtra,21,30,47,15,31,85.5
8/12/2019,maharashtra,21,47,50,15,43,100.5
8/13/2019,maharashtra,37,35,48,17,29,106.8333333
8/14/2019,maharashtra,41,45,40,22,28,117.1666667
8/15/2019,maharashtra,53,34,46,20,30,133.1666667
8/16/2019,maharashtra,39,33,43,14,29,105.75
8/17/2019,maharashtra,38,33,42,12,29,101.9166667
8/18/2019,maharashtra,37,39,44,16,29,105.5833333
8/19/2019,maharashtra,44,47,46,19,29,118.6666667
8/20/2019,maharashtra,53,47,39,17,30,129.4166667
8/21/2019,maharashtra,54,36,41,19,29,132
8/22/2019,maharashtra,42,36,31,18,30,116
8/23/2019,maharashtra,41,40,34,18,30,114.6666667
8/24/2019,maharashtra,31,29,38,20,30,103.8333333
8/25/2019,maharashtra,20,27,36,22,29,90.41666667
8/26/2019,maharashtra,19,38,33,21,29,87.83333333
8/27/2019,maharashtra,24,48,33,15,29,87
8/28/2019,maharashtra,29,61,36,13,29,91.16666667
8/29/2019,maharashtra,43,37,36,13,31,112.3333333
8/30/2019,maharashtra,44,23,35,14,31,114.9166667
8/31/2019,maharashtra,25,22,34,14,31,89.58333333
9/1/2019,maharashtra,24,22,32,14,29,85.75
