date, pm25, pm10, o3, no2, so2, co
2020/5/1, 59, , 46, 1, 1, 7
2020/5/2, 56, , 49, 1, 1, 8
2020/5/3, 46, , 48, 1, 1, 7
2020/5/4, 38, , , , , 
2020/4/1, 116, 50, 47, 4, 2, 4
2020/4/2, 84, 72, 52, 3, 2, 4
2020/4/3, 80, 127, 53, 3, 1, 4
2020/4/4, 78, 39, 52, 4, 2, 5
2020/4/5, 84, 53, 39, 3, 2, 5
2020/4/6, 53, 51, 41, 3, 2, 4
2020/4/7, 49, 139, 41, 3, 2, 4
2020/4/8, 55, 133, 41, 5, 2, 4
2020/4/9, 50, , 36, 4, 1, 4
2020/4/10, 54, , 40, 4, 1, 4
2020/4/11, 69, , 41, 5, 1, 6
2020/4/12, 70, , 48, 6, 1, 7
2020/4/13, 84, , 54, 3, 2, 5
2020/4/14, 74, , 45, 1, 2, 4
2020/4/15, 53, , 45, 2, 2, 4
2020/4/16, 47, , 42, 3, 2, 4
2020/4/17, 34, , 41, 4, 1, 6
2020/4/18, 44, , 47, 4, 1, 5
2020/4/19, 44, , 49, 2, 2, 4
2020/4/20, 45, , 51, 3, 1, 6
2020/4/21, 67, , 45, 6, 1, 4
2020/4/22, 65, , 43, 9, 1, 4
2020/4/23, 41, , 45, 7, 2, 5
2020/4/24, 36, , 45, 9, 1, 7
2020/4/25, 60, , 48, 4, 1, 8
2020/4/26, 67, , 46, 5, 1, 8
2020/4/27, 46, , 48, 3, 1, 7
2020/4/28, 31, , 48, 4, 1, 6
2020/4/29, 49, , 51, 8, 1, 6
2020/4/30, 53, , 44, 2, 1, 8
2020/3/1, 115, 53, 20, 10, 19, 11
2020/3/2, 136, 52, 20, 6, 29, 8
2020/3/3, 84, 53, 17, 9, 5, 14
2020/3/4, 74, 29, 22, 8, 2, 10
2020/3/5, 60, 23, 24, 5, 1, 8
2020/3/6, 82, 23, 12, 5, 1, 8
2020/3/7, 87, 24, 19, 3, 3, 7
2020/3/8, 79, 27, 16, 6, 2, 8
2020/3/9, 114, 36, 24, 3, 2, 3
2020/3/10, 108, 35, 32, 5, 3, 4
2020/3/11, 57, 37, 28, 5, 3, 3
2020/3/12, 64, , , 6, 3, 12
2020/3/13, 117, 41, 20, 7, 20, 8
2020/3/14, 116, 41, 23, 5, 14, 3
2020/3/15, 101, 18, 24, 5, 20, 8
2020/3/16, 105, 42, 39, 6, 3, 7
2020/3/17, 113, 4, 61, 5, 2, 6
2020/3/18, 106, 6, 140, 6, 2, 8
2020/3/19, 98, 5, 180, 4, 2, 11
2020/3/20, 99, 3, 99, 4, 2, 12
2020/3/21, 89, 2, 51, 2, 1, 10
2020/3/22, 107, 5, 36, 4, 2, 10
2020/3/23, 83, 3, 46, 1, 2, 2
2020/3/24, 58, 2, 52, , 2, 3
2020/3/25, 59, 2, 57, 1, 3, 3
2020/3/26, 71, 2, 50, , 1, 4
2020/3/27, 88, , , , , 5
2020/3/28, 121, 8, 34, 3, 2, 4
2020/3/29, 76, 54, 42, 6, 1, 5
2020/3/30, 96, 57, 41, 5, 1, 4
2020/3/31, 103, 5, 48, 7, 1, 5
2020/2/1, 94, 35, 10, 6, 18, 9
2020/2/2, 151, 50, 10, 8, 17, 12
2020/2/3, 141, 52, 10, 8, 18, 11
2020/2/4, 143, 50, 10, 8, 12, 9
2020/2/5, 161, 46, 10, 16, 7, 10
2020/2/6, 114, 47, 10, 4, 7, 6
2020/2/7, 87, 42, 10, 3, 7, 6
2020/2/8, 69, 37, 10, 3, 21, 6
2020/2/9, 76, 52, 10, 7, 20, 6
2020/2/10, 103, 56, 10, 11, 7, 7
2020/2/11, 78, 63, 10, 12, 8, 8
2020/2/12, 94, 70, 10, 12, 19, 10
2020/2/13, 149, 73, 10, 10, 22, 13
2020/2/14, 142, 46, 6, 9, 5, 9
2020/2/15, 108, 42, 6, 7, 14, 9
2020/2/16, 97, 53, 7, 9, 14, 8
2020/2/17, 116, 63, 8, 11, 6, 11
2020/2/18, 107, 69, 4, 7, 12, 7
2020/2/19, 114, 57, 3, 5, 21, 6
2020/2/20, 114, 81, 11, 10, 4, 9
2020/2/21, 100, 47, 5, 5, 6, 14
2020/2/22, 90, 47, 8, 4, 20, 9
2020/2/23, 91, 59, 9, 6, 11, 14
2020/2/24, 70, 47, 15, 7, 8, 16
2020/2/25, 92, 52, 24, 7, 5, 6
2020/2/26, 128, 57, 21, 5, 8, 11
