date, pm25, pm10, o3, no2, so2, co
5/1/2020,34,10,21,1,6,5
5/2/2020,34, ,16, ,6,5
5/3/2020,41,16,18,2,8,5
5/4/2020,63, , , , , 
4/1/2020,60,49,18,2,6,5
4/2/2020,73,47,18,3,5,5
4/3/2020,72,46,17,3,6,5
4/4/2020,76,39,18,3,6,5
4/5/2020,63,19,9,2,4,2
4/6/2020,34,26,14,3,6,4
4/7/2020,34,27,15,3,6,5
4/8/2020,40,36,15,1,6,5
4/9/2020,39,37,14,2,6,5
4/10/2020,38,43,13,2,6,5
4/11/2020,48,38,12,1,5,5
4/12/2020,48,45,13,1,6,6
4/13/2020,53,42,12,1,6,5
4/14/2020,49,27,12, ,6,5
4/15/2020,35,17,12,1,6,5
4/16/2020,17,17,11,1,6,5
4/17/2020,21,13,31,1,5,5
4/18/2020,20,13,9,1,5,4
4/19/2020,32,16,11,2,6,5
4/20/2020,39,22,12,2,6,5
4/21/2020,21,21,13,2,6,5
4/22/2020,24,26,12,1,6,5
4/23/2020,31,33,13,1,6,5
4/24/2020,36,34,10,2,6,5
4/25/2020,42,43,14,1,6,5
4/26/2020,46,25,18,2,6,5
4/27/2020,35,30,16,2,6,5
4/28/2020,50,26,15,3,6,5
4/29/2020,46,36,17,2,6,6
4/30/2020,49,32,18,1,5,5
3/1/2020,82,46,21,9,7,21
3/2/2020,77,37,12,6,2,33
3/3/2020,79,48,17,7,6,32
3/4/2020,111,48,20,8,7,22
3/5/2020,113,44,21,7,6,8
3/6/2020,77,45,16,9,5,8
3/7/2020,81,44,15,5,7,7
3/8/2020,84,41,19,6,4,7
3/9/2020,72,48,18,10,7,8
3/10/2020,95,43,21,7,6,7
3/11/2020,83,47,20,8,8,8
3/12/2020,83,45,24,8,7,7
3/13/2020,81,49,25,6,7,7
3/14/2020,107,48,22,4,6,6
3/15/2020,87,50,22,7,7,7
3/16/2020,91,54,20,7,7,7
3/17/2020,115,37,19,7,7,6
3/18/2020,65,41,20,6,4,7
3/19/2020,86,45,23,5,6,7
3/20/2020,77,45,19,5,5,6
3/21/2020,77,41,18,4,6,5
3/22/2020,84,40,16,4,6,6
3/23/2020,69,32,16,3,6,5
3/24/2020,68,36,15,2,6,5
3/25/2020,69,38,17,3,6,5
3/26/2020,80,39,13,2,3,6
3/27/2020,84,39,19,2,4,5
3/28/2020,48,38,15,3,6,5
3/29/2020,51,44,16,3,6,6
3/30/2020,66,44,18,3,5,5
3/31/2020,67,45,17,3,5,5
2/1/2020,118,51,26,8,6,7
2/2/2020,98,56,25,10,6,9
2/3/2020,104,46,23,9,7,8
2/4/2020,100,53,24,8,7,8
2/5/2020,107,51,27,8,7,7
2/6/2020,83,48,22,7,7,8
2/7/2020,101,53,27,8,7,8
2/8/2020,109,55,34,9,8,9
2/9/2020,107,97,28,9,8,10
2/10/2020,163,56,24,11,8,9
2/11/2020,109,54,25,10,8,9
2/12/2020,101,56,24,10,7,11
2/13/2020,114,53,24,8,7,11
2/14/2020,112,56,22,9,6,12
2/15/2020,108,66,26,7,7,11
2/16/2020,134,62,28,9,7,12
2/17/2020,138,55,29,10,7,10
2/18/2020,110,54,31,10,8,8
2/19/2020,101,58,25,12,5,11
2/20/2020,125,47,21,10,9,10
2/21/2020,99,56,25,12,5,14
2/22/2020,121,42,25,9,7,10
2/23/2020,76,48,19,9,7,13
2/24/2020,74,47,25,10,7,13
2/25/2020,88,48,25,9,4,13
2/26/2020,74,46,25,9,8,15
2/27/2020,86,56,24,12,7,18
2/28/2020,97,103,26,10,8,14
2/29/2020,79,46,25,6,7,15
1/1/2020,101,52,21,10,4,8
1/2/2020,102,52,20,11,7,6
1/3/2020,103,46,29,8,6,8
1/4/2020,90,39,25,8,6,7
1/5/2020,84,58,23,13,8,10
1/6/2020,100,50,22,13,7,10
1/7/2020,94,33,20,6,6,7
1/8/2020,65,49,24,11,4,9
1/9/2020,104,51,19,11,12,9
1/10/2020,129,47,30,13,7,9
1/11/2020,102,43,26,9,8,7
1/12/2020,92,58,30,12,7,8
1/13/2020,124,65,34,12,7,8
1/14/2020,125,68,33,11,7,9
1/15/2020,147,59,30,13,7,8
1/16/2020,133,55,30,10,4,8
1/17/2020,119,51,23,11,4,8
1/18/2020,97,50,21,10,7,8
1/19/2020,94,48,15,11,6,10
1/20/2020,96,46,19,10,4,9
1/21/2020,84,48,22,10,7,8
1/22/2020,79,46,18,10,7,9
1/23/2020,93,52,21,9,3,9
1/24/2020,114,55,23,10,6,9
1/25/2020,98,47,27,8,4,7
1/26/2020,90,50,27,9,7,7
1/27/2020,106,62,29,10,7,8
1/28/2020,121,67,31,12,7,10
1/29/2020,155,65,28,9,7,9
1/30/2020,142,66,34,10,6,9
1/31/2020,125,57,28,8,6,8
10/1/2019,40,28,22,1, ,8
10/2/2019,61,26,21,1, ,8
10/3/2019,58,28,17,1, ,8
10/4/2019,54,30,19,1, ,7
10/5/2019,59,26,22,1, ,6
10/6/2019,55,21,15,1, ,6
10/7/2019,39,18,18,1, ,6
10/8/2019,35,31,17,2, ,8
10/9/2019,56,30,23,1, ,7
10/10/2019,60,27,18,1,1,8
10/11/2019,51,26,10,1, ,8
10/12/2019,36,20,11,1, ,6
10/13/2019,43,25,9,1, ,8
10/14/2019,53,26,9,1, ,9
10/15/2019,59,30,13,2,1,9
10/16/2019,67,19,12,1, ,8
10/17/2019,35,21,11,1, ,8
10/18/2019,78, ,14,1, ,8
10/19/2019,52,13,15,1, ,7
10/22/2019,57,19,14,1, ,8
10/23/2019,32,28,16,1,1,10
10/24/2019,70,34,13,1, ,9
10/25/2019,123,28,14,1, ,7
10/26/2019,86,35,16,1, ,7
10/27/2019,86,32,16,1, ,10
10/28/2019,55,30,16,1, ,9
10/29/2019,64,10,15,1, ,6
10/30/2019,17,11,20,1, ,7
10/31/2019,32,25,17,1,1,9
11/1/2019,46,34,18,1,2,9
11/2/2019,76,29,20,1,4,8
11/3/2019,63,25,22,1,4,8
11/4/2019,57,44,23,1,5,9
11/5/2019,96,45,25,1,4,10
11/6/2019,70,40,20,1,4,8
11/7/2019,77,42,19,1,4,9
11/8/2019,75,28,20,1,4,9
11/9/2019,55,28,19,1,4,9
11/10/2019,38,35,23,1,4,10
11/11/2019,63,41,20,2,4,11
11/12/2019,89,55,23,2,5,16
11/13/2019,112,48,16,2,4,33
11/14/2019,87,43,19,1,6,18
11/15/2019,74,32,14,1,5,38
11/16/2019,74,25,18,1,6,7
11/17/2019,51,44,19,2,7,9
11/18/2019,88,41,15,6,7,9
11/19/2019,87,39,17,8,7,9
11/20/2019,86,35,15,9,7,9
11/21/2019,98,32,19,9,7,10
11/22/2019,84,43,10,10,7,14
11/23/2019,111,41,21,8,7,10
11/24/2019,81,37,19,9,7,11
11/25/2019,93,42,21,12,7,11
11/26/2019,73,54,20,11,8,11
11/27/2019,104,35,19,9,7,10
11/28/2019,71,44,18,9,8,11
11/29/2019,87,23,12,9,7,10
11/30/2019,74,13,13,4,7,7
12/1/2019,82,27,20,7,7,10
12/2/2019,86,41,14,11,8,14
12/3/2019,102,44,17,10,6,13
12/4/2019,85,50,19,8,7,11
12/5/2019,106,47,31,8,7,10
12/6/2019,102,51,25,9,7,12
12/7/2019,103,34,23,6,7,10
12/8/2019,77,41,26,11,7,12
12/9/2019,101,49,27,11,7,12
12/10/2019,92,48,25,11,7,12
12/11/2019,90,42,24,10,7,12
12/12/2019,81,51,25,9,7,12
12/13/2019,112,37,19,5,8,11
12/14/2019,59,43,19,10,4,13
12/15/2019,76,52,25,12,8,14
12/16/2019,96,43,23,5,6,10
12/17/2019,85,52,26,14,8,13
12/18/2019,101,41,21,10,5,12
12/19/2019,80,46,15,10,7,14
12/20/2019,89,43,24,11,7,14
12/21/2019,115,53,30,9,8,13
12/22/2019,115,56,26,10,7,14
12/23/2019,119,62,24,13,8,17
12/24/2019,133,48,26,7,7,13
12/25/2019,114,35,26,7,7,14
12/26/2019,63,44,17,11,7,16
12/27/2019,100,53,22,13,4,15
12/28/2019,109,59,28,12,7,20
12/29/2019,124, , , , , 
7/1/2019,37,40,9,1, ,7
7/2/2019,41,32,11,1, ,7
7/3/2019,50,25,16,1, ,5
7/4/2019,31,34,8,1,1,7
7/5/2019,51,43,7,1, ,7
7/6/2019,92,26,9,1, ,4
7/7/2019,59,24,8,1, ,5
7/8/2019,35,24,11,1, ,5
7/9/2019,44,30,13,1, ,6
7/10/2019,45,41,19,2, ,7
7/11/2019,72,45,13,2, ,7
7/12/2019,76,34,11,1, ,5
7/13/2019,65,25,12,1, ,5
7/14/2019,44,24,14,1, ,5
7/15/2019,37,26,15,1, ,5
7/16/2019,42,27,13,2,1,6
7/17/2019,35,19,12,1, ,5
7/18/2019,24,16,13,1,1,4
7/19/2019,34,19,14,1, ,6
7/20/2019,32,15,15, , ,3
7/21/2019,28,19,16,1, ,5
7/22/2019,33,24,17,1, ,5
7/23/2019,41,27,16,1, ,6
7/24/2019,54,35,13,1, ,7
7/25/2019,59,32,12,2,1,7
7/26/2019,46,39,13,2, ,8
7/27/2019,66,40,12,1, ,8
7/28/2019,56,36,11,1, ,10
7/29/2019,50,33,9,1, ,14
7/30/2019,43,28,9,1, ,24
7/31/2019,46,31,11,1, ,6
8/1/2019,54,42,11,1, ,6
8/2/2019,38,39,10,1, ,7
8/3/2019,50,34,9,1, ,5
8/4/2019,43,43,10,1, ,6
8/5/2019,62,31,10,1,1,6
8/6/2019,48,25,11,1, ,6
8/7/2019,41,27,16,1,1,6
8/8/2019,43,21,13,1,1,6
8/9/2019,35,15,16,1, ,4
8/10/2019,22,14,16, , ,3
8/11/2019,23,16,15, , ,4
8/12/2019,29,19,15,1,1,5
8/13/2019,36,23,16,1, ,5
8/14/2019,33,30,18,1,1,5
8/15/2019,53,26,15,1, ,5
8/16/2019,41,36,13,2, ,7
8/17/2019,82,39,15,1, ,6
8/18/2019,69,36,15,2, ,6
8/19/2019,82,35,12,1, ,6
8/20/2019,71,28,9,1, ,6
8/21/2019,49,21,12,1, ,6
8/22/2019,33,21,14,1, ,5
8/23/2019,35,27,15,1, ,5
8/24/2019,52,19,16,1, ,5
8/25/2019,39,17,15,1,1,6
8/26/2019,36,19,16,1, ,6
8/27/2019,48,21,14,1, ,6
8/28/2019,105,28,14,1, ,6
8/29/2019,59,28,15,1, ,6
8/30/2019,53,35,11,1, ,6
8/31/2019,50,26,10,1, ,6
9/1/2019,41,24,9,1, ,7
9/2/2019,40,25,9,1, ,7
9/3/2019,53,22,7,1, ,7
9/4/2019,71,20,6,1, ,7
9/5/2019,46,18,7,1, ,7
9/6/2019,53,25,8,1,1,7
9/7/2019,60,27,11,1, ,7
9/8/2019,51,28,9,1, ,7
9/9/2019,52,25,12,1, ,6
9/10/2019,46,26,10, , ,6
9/11/2019,49,29,10,1, ,8
9/12/2019,50,30,15,1, ,6
9/13/2019,60,28,12,1, ,7
9/14/2019,54,27,10,1, ,7
9/15/2019,51,30,12,1, ,7
9/16/2019,65,32,12,1, ,8
9/17/2019,63,20,11,1, ,7
9/18/2019,40,20,10,1, ,8
9/19/2019,36,30,10,1, ,7
9/20/2019,63,33,13,1, ,7
9/21/2019,64,31,12,1, ,7
9/22/2019,54,19,11,1, ,9
9/23/2019,56,20,12,1,1,10
9/24/2019,20,21,13,1, ,9
9/25/2019,45,23,15,1,1,11
9/26/2019,52,30,18,2, ,9
9/27/2019,55,30,21,1, ,9
9/28/2019,61,26,20,1, ,12
9/29/2019,58,19,17,1, ,27
9/30/2019,48,25,14,1, ,14
4/1/2019,109,64,23,2, ,7
4/2/2019,119,63,26,2,1,6
4/3/2019,113,45,27,2, ,7
4/4/2019,79,40,24,2,3,6
4/5/2019,65,44,23,2, ,6
4/6/2019,72,56,28,1, ,5
4/7/2019,87,58,24,2,1,6
4/8/2019,87,56,25,1,1,7
4/9/2019,88,53,28,2,1,8
4/10/2019,89,49,32,1, ,7
4/11/2019,82,55,25,2, ,7
4/12/2019,84,51,26,2, ,7
4/13/2019,86,52,27,2,1,8
4/14/2019,87,48,24,2,1,8
4/15/2019,83,46,21,3, ,9
4/16/2019,79,48,22,3, ,8
4/17/2019,84,40,27,2, ,8
4/18/2019,74,37,24,2, ,8
4/19/2019,66,30,25,2, ,8
4/20/2019,28,26,28,2, ,8
4/22/2019,68,26,31,2, ,6
4/23/2019,51,36,31,3,1,8
4/24/2019,68,40,30,2,2,7
4/25/2019,73,44,29,2,1,8
4/26/2019,72,51,24,3, ,9
4/27/2019,77,52,19,2,1,8
4/28/2019,76,49,25,2,1,8
4/29/2019,75,43,26,2,1,9
4/30/2019,69,43,23,1,1,8
5/1/2019,68,66,19,2,2,9
5/2/2019,92,74,20,2,1,9
5/3/2019,98,73,22,2,1,8
5/4/2019,97,71,22,1,1,7
5/5/2019,89,78,19,2,1,9
5/6/2019,101,67,17,1,1,9
5/7/2019,85,56,17,2,1,8
5/8/2019,76,55,20,2,1,7
5/9/2019,72,49,25,2,1,7
5/10/2019,69,48,21,2, ,7
5/11/2019,65,44,23,1,1,7
5/12/2019,62,41,18,1,1,7
5/13/2019,56,40,17,1, ,8
5/14/2019,57,41,17,2,1,11
5/15/2019,57,51,24,1,2,22
5/16/2019,67,54,17,2,2,29
5/17/2019,70, , , , , 
5/20/2019,86,59,20,2,2,6
5/21/2019,91,55,18,2,2,6
5/22/2019,82,46,14,1,2,6
5/23/2019,67,28,14,2,2,4
5/24/2019,55,27,23,5,1,5
5/25/2019,39,31,19,1, ,4
5/26/2019,49,46,16,2, ,4
5/27/2019,61,61,15,1,1,4
5/28/2019,86,60,22,1,1,5
5/29/2019,84,60,21,2, ,6
5/30/2019,78,43,16,1, ,5
5/31/2019,66,48,15,1,1,5
6/1/2019,71,32,9,1, ,4
6/2/2019,48,34,16,2, ,6
6/3/2019,43,27,16,1, ,5
6/4/2019,38,25,19,1, ,5
6/5/2019,42,40,14,2,1,6
6/6/2019,65,30,14,1, ,6
6/7/2019,50,23,16,1, ,6
6/8/2019,27,22,14,1,1,5
6/9/2019,32,21,17,1,1,4
6/10/2019,38, , , , , 
6/18/2019,43,43,8, , ,1
6/19/2019,41,21,13, ,1,5
6/20/2019,26, ,8, ,1,4
6/25/2019,85,49,8, ,1,5
6/26/2019,92,45,8,1, ,5
6/27/2019,50,41,9,1, ,5
6/28/2019,51,42,9,1,1,6
6/29/2019,59,36,9,1,1,5
6/30/2019,37,33,9,1, ,6
1/1/2019,139,72,50,4,6,4
1/2/2019,140,69,54,3,10,2
1/3/2019,134,63,48,5,11,3
1/4/2019,113,65,43,5,15,3
1/5/2019,115,62,43,3,15, 
1/6/2019,121,68,42,4,13,4
1/7/2019,136,69,44,3,10,3
1/8/2019,135,75,49,3,11,3
1/9/2019,145,69,52,4,9,1
1/10/2019,138,72,54,3,18, 
1/11/2019,153,74,41,3,7, 
1/12/2019,156,70,45,2,12, 
1/13/2019,146,78,44,4,11, 
1/14/2019,157,75,44,3,9,1
1/15/2019,156,81,56,4,11, 
1/16/2019,159,71,51,4,8, 
1/17/2019,147,82,46,6,7,3
1/18/2019,161,79,50,4,11,1
1/19/2019,160,83,50,5,10,9
1/20/2019,165,80,28,7,6,10
1/21/2019,161,70,43,6,5,8
1/22/2019,136,77,55,5,3,7
1/23/2019,156,77,45,5,4,8
1/24/2019,156,68,41,4,3,8
1/25/2019,142,63,37,3,2,7
1/26/2019,135,58,37,2,1,5
1/27/2019,112,58,38,3,2,6
1/28/2019,114,52,38,3,2,6
1/29/2019,99,55,40,3,2,6
1/30/2019,109,54,49,3,4,6
1/31/2019,110,58,46,3,4,6
2/1/2019,110,62,42,4,3,7
2/2/2019,127,54,39,3,2,6
2/3/2019,109,60,34,5,3,8
2/4/2019,120,57,33,5,2,8
2/5/2019,116,49,36,3,1,7
2/6/2019,106,59,38,3,4,6
2/7/2019,122,65,44,4,3,8
2/8/2019,144,64,34,3,2,7
2/9/2019,135,51,26,4,8,7
2/10/2019,104,51,28,4,2,7
2/11/2019,96,54,32,5,1,7
2/12/2019,102,59,40,5,1,7
2/13/2019,108,64,36,4,2,7
2/14/2019,122,62,40,3,3,7
2/15/2019,124,54,39,3,4,6
2/16/2019,103,55,31,2,1,6
2/17/2019,95,53,32,3,1,6
2/18/2019,92,50,25,2,1,6
2/19/2019,84,55,31,2,3,6
2/20/2019,102,45,32,2,3,5
2/21/2019,72,47,31,3,2,6
2/22/2019,76,51,40,3,1,5
2/23/2019,86,50,42,2,1,5
2/24/2019,84,56,40,3,2,6
2/25/2019,105,57,36,2,1,5
2/26/2019,114,56,32,2,1,5
2/27/2019,97,60,34,2,1,6
2/28/2019,91,67,34,2,2,5
3/1/2019,92,57,34,3,1,6
3/2/2019,89,53,38,2,1,5
3/3/2019,100,57,34,2,2,6
3/4/2019,122,51,32,2, ,5
3/5/2019,70,55,26,2,1,5
3/6/2019,65,112,30,2,3,5
3/7/2019,145,86,24,2,2,6
3/8/2019,111,65,31,2, ,5
3/9/2019,88,51,34,2,2,5
3/10/2019,80,58,32,2,4,6
3/11/2019,88,59,41,2,2,5
3/12/2019,104,71,46,3,2,7
3/13/2019,131,66,43,2,1,6
3/14/2019,115,65,45,4,2,7
3/15/2019,111,67,38,3,2,7
3/16/2019,121,66,39,2,2,7
3/17/2019,123,59,36,2,3,7
3/18/2019,100,55,30,3,3,8
3/19/2019,96,53,27,3,3,8
3/20/2019,92,51,33,3,3,7
3/21/2019,90,52,39,3,2,7
3/22/2019,94,55,33,2,1,7
3/23/2019,93,51,35,1,1,6
3/24/2019,85,55,32,2,1,7
3/25/2019,94,55,31,2,1,6
3/26/2019,90,56,37,2,1,5
3/27/2019,86,60,25,2,1,7
3/28/2019,101,60,29,2,1,6
3/29/2019,97,65,26,2, ,7
3/30/2019,99,63,25,1, ,6
3/31/2019,106,62,23,1, ,7
10/1/2018,74,28,15,3,2,8
10/2/2018,60,33,14,4,2,10
10/3/2018,69,23,12,4,2,7
10/4/2018,42,38,3,9,2,8
10/5/2018,72,43,4,4,2,10
10/6/2018,85,23,4,2,2,9
10/7/2018,47,23,4,3,2,8
10/8/2018,46,23,5,4,2,9
10/9/2018,56,33,5,4,3,9
10/10/2018,57,42,4,4,2,9
10/11/2018,100,56,5,4,3,9
10/12/2018,107,54,4,2,2,8
10/13/2018,104,46,3,2,3,8
10/14/2018,89,47,2,2,3,9
10/15/2018,92,32,3,2,2,9
10/16/2018,61,25,5,3,2,8
10/17/2018,44,26,4,2,2,7
10/18/2018,53,26,4,1,3,8
10/19/2018,46,26,3,2,2,9
10/20/2018,51,22,3,1,2,7
10/21/2018,45,28,3,3,3,8
10/22/2018,66,30,3,2,2,7
10/23/2018,62,47,3,4,2,11
10/24/2018,89,55,4,3,2,11
10/25/2018,113,70,8,3,3,13
10/26/2018,132,81,11,4,3,13
10/27/2018,152,71,6,2,3,10
10/28/2018,143,64,5,2,2,10
10/29/2018,130,68,13,2,2,11
10/30/2018,136,64,10,2,3,10
10/31/2018,126,54,2,3,2,10
11/1/2018,108,60,7,5,2,13
11/2/2018,115,23,32,3,2,9
11/3/2018,42, , , , , 
11/5/2018,162,61,35,2,3,10
11/6/2018,120,52,37,6,4,12
11/7/2018,110,58,41,6,4,15
11/8/2018,125,52,35,3,3,13
