date, pm25, pm10, o3, no2, so2, co
2020/5/1, 43, 23, 24, 8, 3, 1
2020/5/2, 58, 25, 30, 6, 3, 1
2020/5/3, 62, 37, 20, 8, 3, 1
2020/5/4, 78, , , , , 
2020/4/1, 144, 58, 25, 9, 6, 2
2020/4/2, 122, 65, 23, 9, 6, 2
2020/4/3, 129, 80, 25, 10, 6, 2
2020/4/4, 150, 67, 38, 8, 6, 2
2020/4/5, 135, 66, 42, 12, 6, 2
2020/4/6, 132, 58, 37, 9, 7, 1
2020/4/7, 118, 44, 31, 10, 7, 1
2020/4/8, 75, 34, 29, 10, 7, 1
2020/4/9, 67, 33, 24, 8, 6, 1
2020/4/10, 65, 35, 30, 7, 6, 1
2020/4/11, 66, 45, 21, 6, 6, 1
2020/4/12, 79, 41, 31, 6, 5, 1
2020/4/13, 80, 38, 23, 5, 5, 1
2020/4/14, 74, 44, 26, 6, 5, 1
2020/4/15, 80, 46, 27, 8, 5, 2
2020/4/16, 88, 36, 25, 6, 5, 1
2020/4/17, 77, 30, 26, 7, 5, 1
2020/4/18, 62, 25, 30, 9, 6, 1
2020/4/19, 54, 26, 26, 6, 5, 1
2020/4/20, 55, 21, 29, 10, 6, 1
2020/4/21, 50, 23, 26, 8, 6, 1
2020/4/22, 59, 22, 19, 7, 4, 1
2020/4/23, 53, 19, 24, 7, 4, 1
2020/4/24, 44, 23, 26, 7, 3, 1
2020/4/25, 52, 23, 26, 7, 3, 1
2020/4/26, 55, 15, 17, 6, 3, 1
2020/4/27, 39, 15, 18, 6, 3, 1
2020/4/28, 33, 25, 26, 8, 3, 1
2020/4/29, 65, 21, 26, 7, 3, 1
2020/4/30, 54, 18, 23, 6, 3, 
2020/3/1, 186, 134, 23, 32, 12, 7
2020/3/2, 182, 93, 10, 32, 8, 5
2020/3/3, 166, 76, 21, 23, 9, 4
2020/3/4, 150, 81, 17, 24, 9, 4
2020/3/5, 127, 71, 19, 17, 9, 3
2020/3/6, 121, 51, 15, 15, 7, 3
2020/3/7, 107, 72, 20, 21, 8, 5
2020/3/8, 128, 83, 27, 22, 9, 3
2020/3/9, 144, 84, 28, 25, 9, 4
2020/3/10, 153, 82, 36, 24, 10, 3
2020/3/11, 150, 88, 21, 24, 10, 4
2020/3/12, 159, 86, 34, 25, 10, 4
2020/3/13, 156, 70, 25, 14, 8, 2
2020/3/14, 103, 47, 22, 19, 8, 3
2020/3/15, 75, 80, 28, 22, 11, 4
2020/3/16, 150, 85, 42, 19, 8, 3
2020/3/17, 156, 113, 21, 24, 7, 5
2020/3/18, 171, 98, 40, 25, 9, 5
2020/3/19, 154, 68, 32, 20, 9, 3
2020/3/20, 120, 79, 31, 19, 7, 1
2020/3/21, 132, 32, 23, 13, 6, 
2020/3/22, 60, 53, 30, 13, 6, 1
2020/3/23, 102, 55, 31, 11, 6, 2
2020/3/24, 108, 73, 23, 12, 6, 2
2020/3/25, 152, 58, 28, 11, 6, 2
2020/3/26, 112, 73, 31, 10, 6, 1
2020/3/27, 140, 68, 8, 11, 6, 2
2020/3/28, 134, 59, 9, 10, 6, 2
2020/3/29, 115, 65, 26, 12, 7, 1
2020/3/30, 115, 65, 24, 11, 7, 2
2020/3/31, 127, 68, 26, 9, 6, 2
2020/2/1, 106, 225, 33, 31, 13, 5
2020/2/2, 100, 110, 30, 28, 11, 6
2020/2/3, 117, 154, 32, 38, 16, 7
2020/2/4, 172, 226, 33, 40, 25, 6
2020/2/5, 177, 169, 25, 31, 16, 6
2020/2/6, 180, 164, 19, 28, 15, 6
2020/2/7, 174, 194, 4, 34, 15, 6
2020/2/8, 188, , , , , 
2020/2/11, 178, , , , , 
2020/2/13, 179, 361, 20, 64, 22, 14
2020/2/14, 203, 200, 23, 47, 14, 8
2020/2/15, 182, 207, 24, 48, 12, 8
2020/2/16, 189, 290, 25, 42, 9, 11
2020/2/17, 193, 279, 21, 29, 6, 9
2020/2/18, 198, 167, 21, 30, 15, 5
2020/2/19, 182, 135, 28, 27, 14, 4
2020/2/20, 162, 190, 26, 25, 7, 6
2020/2/21, 179, 182, 23, 31, 7, 6
2020/2/22, 184, 170, 19, 22, 4, 6
2020/2/23, 176, 274, 27, 23, 8, 9
2020/2/24, 197, 106, 12, 30, 6, 5
2020/2/25, 178, 72, 18, 23, 9, 3
2020/2/26, 130, 85, 18, 27, 9, 5
2020/2/27, 145, 96, 23, 26, 6, 5
2020/2/28, 163, 93, 20, 28, 7, 5
2020/2/29, 163, 127, 22, 27, 8, 7
2020/1/2, 188, 84, 14, 20, 8, 3
2020/1/3, 119, 133, 12, 24, 9, 10
2020/1/4, 150, 203, 7, 26, 9, 11
2020/1/5, 189, 134, 29, 28, 6, 7
2020/1/6, 170, 181, 30, 32, 10, 8
2020/1/7, 193, 223, 33, 28, 10, 7
2020/1/8, 209, 136, 24, 33, 9, 9
2020/1/9, 171, 141, 25, 30, 11, 5
2020/1/10, 176, 112, 25, 26, 12, 3
2020/1/11, 163, 172, 27, 41, 12, 10
2020/1/12, 175, 202, 35, 40, 13, 6
2020/1/13, 175, 232, 32, 51, 16, 14
2020/1/14, 196, 439, 36, 59, 15, 19
2020/1/15, 273, 408, 35, 49, 10, 19
2020/1/16, 251, 378, 27, 38, 12, 13
2020/1/17, 233, 297, 24, 47, 19, 17
2020/1/18, 196, 215, 18, 32, 12, 6
2020/1/19, 196, 113, 23, 23, 13, 3
2020/1/20, 159, 123, 29, 22, 13, 8
2020/1/21, 155, 168, 29, 28, 11, 7
2020/1/22, 187, 331, 21, 33, 7, 1
2020/1/23, 232, 118, 29, 21, 16, 6
2020/1/24, 154, 150, 31, 13, 12, 6
2020/1/25, 168, 180, 27, 13, 12, 11
2020/1/26, 188, 287, 31, 35, 11, 12
2020/1/27, 202, 249, 29, 40, 12, 9
2020/1/28, 206, 109, 16, 32, 7, 3
2020/1/29, 133, 120, 12, 20, 8, 10
2020/1/30, 133, 135, 25, 28, 10, 6
2020/1/31, 127, 164, 32, 34, 12, 9
2019/10/1, 127, 85, 31, 15, 6, 4
2019/10/2, 154, 70, 23, 14, 5, 3
2019/10/3, 138, 64, 30, 12, 7, 3
2019/10/4, 126, 72, 25, 16, 5, 4
2019/10/5, 142, 81, 21, 15, 5, 4
2019/10/6, 157, 59, 20, 11, 3, 4
2019/10/7, 126, 47, 19, 10, 2, 3
2019/10/8, 95, 24, 15, 6, 2, 2
2019/10/9, 53, 36, 6, 8, 2, 3
2019/10/10, 72, 56, 25, 10, 2, 5
2019/10/11, 112, 88, 31, 15, 1, 6
2019/10/12, 151, 92, 35, 12, 4, 3
2019/10/13, 164, 107, 47, 10, 4, 3
2019/10/14, 170, 82, 48, 14, 6, 3
2019/10/15, 158, 89, 32, 15, 3, 4
2019/10/16, 154, 90, 26, 22, 6, 7
2019/10/17, 159, 125, 12, 21, 10, 6
2019/10/18, 184, , , , , 
2019/10/22, 162, 120, 34, 18, 5, 5
2019/10/23, 182, 56, 22, 7, 2, 2
2019/10/24, 122, 34, 19, 8, 3, 2
2019/10/25, 74, 48, 13, 11, 5, 3
2019/10/26, 91, 129, 26, 11, 8, 3
2019/10/27, 176, 140, 35, 13, 9, 3
2019/10/28, 210, 187, 34, 19, 8, 4
2019/10/29, 218, 141, 39, 20, 8, 5
2019/10/30, 195, 143, 49, 23, 7, 7
2019/10/31, 196, 160, 47, 25, 7, 7
2019/11/1, 186, 127, 37, 20, 9, 5
2019/11/2, 165, 109, 36, 19, 9, 4
2019/11/3, 155, 117, 40, 26, 7, 6
2019/11/4, 162, 167, 22, 26, 12, 7
2019/11/5, 182, 139, 43, 9, 14, 5
2019/11/6, 176, 137, 56, 8, 7, 5
2019/11/7, 171, 86, 23, 5, 7, 3
2019/11/8, 122, 30, 20, 3, 6, 2
2019/11/9, 43, 39, 26, 4, 6, 2
2019/11/10, 68, 71, 22, 3, 9, 6
2019/11/11, 92, 147, 58, 47, 10, 9
2019/11/12, 119, 176, 60, 27, 9, 6
2019/11/13, 85, 149, 45, 22, 10, 7
2019/11/14, 116, 143, 36, 18, 8, 5
2019/11/15, 136, 154, 48, 24, 11, 8
2019/11/16, 171, 158, 69, 24, 13, 9
2019/11/17, 177, 239, 73, 28, 15, 9
2019/11/18, 192, 241, 50, 25, 11, 9
2019/11/19, 187, 240, 57, 21, 9, 8
2019/11/20, 182, 148, 60, 24, 12, 6
2019/11/21, 173, 155, 60, 36, 11, 6
2019/11/22, 177, 206, 65, 52, 16, 9
2019/11/23, 198, 291, 67, 38, 10, 9
