date, pm25, pm10, o3, no2, so2, co
2020/5/1, 161, 85, 13, 2, , 1
2020/5/2, 116, 68, 7, 2, , 2
2020/5/3, 107, 41, 7, 2, , 2
2020/4/1, 114, 66, 13, 2, 4, 1
2020/4/2, 113, 72, 18, 3, 4, 2
2020/4/3, 119, 78, 15, 5, 4, 3
2020/4/4, 130, 93, 17, 4, 5, 4
2020/4/5, 148, 94, 14, 4, 5, 3
2020/4/6, 144, 85, 14, 3, 4, 2
2020/4/7, 108, 74, 16, 3, 4, 1
2020/4/8, 106, 78, 18, 4, 5, 3
2020/4/9, 121, 99, 17, 5, 6, 4
2020/4/10, 145, 91, 18, 4, 6, 3
2020/4/11, 134, 87, 16, 3, 6, 3
2020/4/12, 125, 117, 18, 6, 7, 5
2020/4/13, 152, 144, 8, 7, 6, 6
2020/4/14, 168, 157, 13, 7, 4, 6
2020/4/15, 164, 143, 14, 4, 6, 5
2020/4/16, 145, 77, 16, 2, 4, 2
2020/4/17, 86, 82, 16, 2, 4, 2
2020/4/18, 101, 76, 11, 4, 4, 3
2020/4/19, 110, 96, 6, 5, 5, 4
2020/4/20, 124, 82, 13, 3, 5, 3
2020/4/21, 121, 109, 17, 4, 8, 4
2020/4/22, 147, 107, 15, 5, 6, 5
2020/4/23, 143, 103, 18, 6, 6, 4
2020/4/24, 151, 77, 18, 3, 5, 2
2020/4/25, 91, 85, 11, 3, 5, 2
2020/4/26, 107, 55, 15, 2, 4, 2
2020/4/27, 96, 74, 16, 3, 5, 3
2020/4/28, 130, 89, 18, 3, 5, 3
2020/4/29, 147, 89, 19, 3, , 4
2020/4/30, 148, 112, 10, 3, , 5
2020/3/1, 120, 119, 13, 11, 7, 10
2020/3/2, 170, 140, 3, 18, 5, 12
2020/3/3, 161, 132, 14, 14, 5, 9
2020/3/4, 170, 51, 12, 10, 3, 6
2020/3/5, 104, 40, 11, 11, 4, 7
2020/3/6, 92, 72, 12, 13, 4, 9
2020/3/7, 126, 107, 19, 10, 3, 9
2020/3/8, 168, 97, 12, 7, 4, 5
2020/3/9, 156, 185, 4, 8, 7, 8
2020/3/10, 254, 79, 12, 12, 2, 6
2020/3/11, 139, 118, 9, 12, 4, 8
2020/3/12, 157, 150, 15, 12, 5, 7
2020/3/13, 160, 58, 9, 8, 4, 4
2020/3/14, 124, , 16, 9, 4, 3
2020/3/15, 162, 133, 14, 7, 5, 5
2020/3/16, 156, 129, 15, 9, 5, 6
2020/3/17, 166, 116, 15, 8, 5, 5
2020/3/18, 159, 159, 17, 10, 8, 7
2020/3/19, 198, 153, 19, 14, 7, 11
2020/3/20, 175, 155, 18, 12, 7, 9
2020/3/21, 186, 96, 16, 6, 5, 5
2020/3/22, 163, 87, 15, 6, 5, 4
2020/3/23, 149, 71, 14, 6, 6, 3
2020/3/24, 134, 62, 10, 4, 4, 3
2020/3/25, 123, 75, 5, 3, 5, 4
2020/3/26, 134, 39, 4, 3, 3, 1
2020/3/27, 90, 38, 6, 3, 3, 2
2020/3/28, 87, 60, 10, 2, 4, 2
2020/3/29, 104, 68, 12, 3, 4, 2
2020/3/30, 121, 68, 12, 3, 4, 1
2020/3/31, 121, 68, 12, 3, 5, 2
2020/2/1, 215, 148, 12, 10, 4, 9
2020/2/2, 231, 240, 19, 13, 4, 15
2020/2/3, 260, 320, 23, 18, 4, 16
2020/2/4, 305, 197, 15, 10, 4, 7
2020/2/5, 261, 189, 18, 13, 3, 9
2020/2/6, 240, 193, 18, 12, 3, 10
2020/2/7, 254, 158, 18, 10, 5, 8
2020/2/8, 261, 203, 21, 11, 4, 9
2020/2/9, 268, 283, 18, 14, 4, 17
2020/2/10, 304, 243, 20, 13, 3, 16
2020/2/11, 283, 212, 18, 10, 6, 8
2020/2/12, 273, 113, 17, 7, 5, 5
2020/2/13, 190, 105, 16, 6, 3, 5
2020/2/14, 172, 116, 21, 9, 5, 5
2020/2/15, 188, 241, 21, 14, 7, 15
2020/2/16, 272, 230, 20, 14, 6, 11
2020/2/17, 273, 191, 22, 15, 5, 15
2020/2/18, 229, 245, 18, 18, 5, 22
2020/2/19, 250, 141, 22, 12, 3, 7
2020/2/20, 181, 59, 11, 7, 2, 5
2020/2/21, 134, 96, 3, 14, 5, 9
2020/2/22, 165, 122, 14, 10, 7, 8
2020/2/23, 192, 100, 17, 11, 6, 8
2020/2/24, 166, 152, 17, 12, 8, 9
2020/2/25, 234, 254, 17, 14, 7, 14
2020/2/26, 274, 152, 18, 18, 6, 12
2020/2/27, 207, 114, 14, 13, 4, 7
2020/2/28, 168, 83, 12, 11, 4, 8
2020/2/29, 154, 57, 16, 10, 4, 6
2020/1/1, 424, 428, 28, 13, 3, 32
2020/1/2, 411, 315, 5, 14, 2, 27
2020/1/3, 322, 274, 12, 12, 2, 18
2020/1/4, 335, 160, 11, 10, 2, 7
2020/1/5, 260, 164, 4, 11, 2, 8
2020/1/6, 242, 130, 11, 12, 2, 10
2020/1/7, 206, 93, 7, 8, 1, 8
2020/1/8, 192, 91, 7, 5, 1, 6
2020/1/9, 184, 117, 11, 8, 2, 8
2020/1/10, 205, 188, 15, 11, 2, 11
2020/1/11, 248, 318, 13, 13, 2, 25
2020/1/12, 307, 194, 6, 15, 2, 16
2020/1/13, 278, 98, 7, 5, 1, 6
2020/1/14, 188, 114, 13, 8, 2, 6
2020/1/15, 197, 129, 4, 8, 1, 7
2020/1/16, 215, 118, 5, 7, 1, 8
2020/1/17, 202, 125, 6, 9, 1, 9
2020/1/18, 204, 111, 10, 4, 1, 5
2020/1/19, 196, 165, 7, 8, 4, 10
2020/1/20, 228, 382, 6, 15, 5, 20
2020/1/21, 385, 193, 15, 11, , 13
2020/1/22, 267, 91, 12, 8, 1, 5
2020/1/23, 168, 124, 15, 11, 2, 7
2020/1/24, 184, 204, 13, 15, 3, 16
2020/1/25, 248, 330, 17, 12, 3, 21
2020/1/26, 324, 260, 8, 19, 3, 18
2020/1/27, 312, 96, 9, 11, 2, 8
2020/1/28, 186, 99, 16, 8, 3, 5
2020/1/29, 185, 114, 14, 8, 3, 6
2020/1/30, 189, 128, 11, 9, 3, 7
2020/1/31, 194, 179, 17, 10, 3, 13
2019/10/1, 102, 86, 10, 10, 2, 9
2019/10/2, 133, 127, 22, 12, 2, 9
2019/10/3, 161, 68, 15, 6, 2, 6
2019/10/4, 122, 74, 14, 6, 2, 5
2019/10/5, 121, 94, 19, 6, 2, 6
2019/10/6, 145, 91, 18, 5, 2, 5
2019/10/7, 139, 79, 20, 4, 2, 5
2019/10/8, 121, 145, 32, 12, 3, 11
2019/10/9, 167, 173, 41, 13, 3, 11
2019/10/10, 194, 143, 29, 7, 3, 11
2019/10/11, 195, 149, 26, 8, 3, 11
2019/10/12, 196, 204, 70, 9, 4, 12
2019/10/13, 213, 182, 24, 11, 2, 17
2019/10/14, 200, 271, 31, 14, 3, 21
2019/10/15, 237, 210, 34, 15, 3, 18
2019/10/16, 219, 193, 44, 16, 5, 15
2019/10/17, 212, 112, 19, 13, 3, 10
2019/10/18, 159, 124, 26, 10, 2, 12
2019/10/19, 164, 140, 18, 8, 2, 11
2019/10/20, 180, 157, 21, 10, 2, 13
2019/10/21, 195, 145, 21, 10, 2, 12
2019/10/22, 175, 206, 26, 14, 3, 19
2019/10/23, 205, 340, 30, 17, 3, 26
2019/10/24, 271, 216, 21, 16, 3, 18
2019/10/25, 217, 249, 29, 17, 2, 22
2019/10/26, 231, 296, 23, 12, 2, 17
2019/10/27, 297, 388, 22, 12, 4, 18
2019/10/28, 376, 392, 11, 15, 2, 25
2019/10/29, 373, 424, 13, 16, 3, 29
2019/10/30, 344, 474, 14, 16, 3, 30
2019/10/31, 360, 511, 25, 17, 2, 22
2019/11/1, 380, 391, 11, 10, 2, 17
2019/11/2, 327, 738, 6, 11, 1, 23
2019/11/3, 528, 337, 15, 9, 2, 14
2019/11/4, 301, 222, 19, 8, 5, 18
2019/11/5, 242, 149, 16, 17, 2, 14
2019/11/6, 155, 170, 7, 15, 2, 14
2019/11/7, 217, 166, 23, 12, 2, 15
2019/11/8, 257, 147, 16, 9, 2, 10
2019/11/9, 240, 210, 22, 11, 3, 14
2019/11/10, 304, 295, 24, 13, 3, 17
2019/11/11, 350, 509, 17, 17, 3, 24
2019/11/12, 503, 507, , 16, 3, 22
2019/11/13, 502, 451, 14, 20, 3, 28
2019/11/14, 440, 416, 14, 15, 2, 28
2019/11/15, 439, 207, , 8, 2, 9
2019/11/16, 289, 107, , 6, 3, 7
2019/11/17, 188, 129, 6, 9, 2, 12
2019/11/18, 223, 157, 6, 13, 2, 15
2019/11/19, 221, 291, 20, 20, 3, 26
2019/11/20, 308, 349, 21, 22, 4, 29
2019/11/21, 332, 309, 19, 20, 3, 24
2019/11/22, 318, 129, 9, 8, 3, 9
2019/11/23, 208, 114, 12, 7, 2, 7
2019/11/24, 192, 150, 13, 10, 3, 15
2019/11/25, 221, 153, 20, 14, 4, 11
2019/11/26, 208, 91, 17, 9, 1, 8
2019/11/27, 154, 41, 7, 5, 1, 6
2019/11/28, 98, 81, 12, 8, 1, 10
2019/11/29, 155, 108, 9, 7, 1, 11
2019/11/30, 186, 149, 16, 9, 2, 10
2019/12/1, 239, 198, 16, 11, 2, 12
2019/12/2, 271, 219, 15, 13, 2, 15
2019/12/3, 265, 256, 15, 16, 2, 22
2019/12/4, 276, 485, 22, 20, 2, 29
2019/12/5, 425, 380, 10, 12, 3, 17
2019/12/6, 400, 321, 12, 16, 3, 28
2019/12/7, 315, 423, 12, 16, 2, 24
2019/12/8, 398, 308, 15, 15, 1, 20
2019/12/9, 332, 363, 16, 17, 2, 22
2019/12/10, 374, 499, 24, 26, 2, 31
2019/12/11, 444, 332, 14, 15, 2, 11
2019/12/12, 388, 87, 7, 8, 1, 8
2019/12/13, 179, 101, 9, 8, 1, 7
2019/12/14, 174, 102, 8, 6, 1, 6
2019/12/15, 188, 87, 4, 4, 1, 6
2019/12/16, 174, 100, 6, 4, 1, 8
2019/12/17, 193, 148, 12, 7, 1, 9
2019/12/18, 239, 362, 7, 16, 1, 18
2019/12/19, 391, 361, 6, 12, 1, 16
2019/12/20, 399, 194, 3, 7, 1, 9
2019/12/21, 296, 119, 5, 5, 1, 8
2019/12/22, 216, 142, 5, 5, 1, 11
2019/12/23, 239, 271, 6, 10, 1, 13
2019/12/24, 336, 154, 4, 5, 1, 8
2019/12/25, 226, 179, 7, 6, 1, 7
