date,state,pm2_5, pm10, o3,no2,so2, co,AQI
5/1/2020,west bengal,43,23,24,8,3,1,71.08333333
5/2/2020,west bengal,58,25,30,6,3,1,88.58333333
5/3/2020,west bengal,62,37,20,8,3,1,96.41666667
5/4/2020,west bengal,78, , ,0,0, ,104
4/1/2020,west bengal,144,58,25,9,6,2,210.75
4/2/2020,west bengal,122,65,23,9,6,2,181.4166667
4/3/2020,west bengal,129,80,25,10,6,2,192
4/4/2020,west bengal,150,67,38,8,6,2,217.5
4/5/2020,west bengal,135,66,42,12,6,2,202.5
4/6/2020,west bengal,132,58,37,9,7,1,196
4/7/2020,west bengal,118,44,31,10,7,1,178.5833333
4/8/2020,west bengal,75,34,29,10,7,1,121.25
4/9/2020,west bengal,67,33,24,8,6,1,106.8333333
4/10/2020,west bengal,65,35,30,7,6,1,102.9166667
4/11/2020,west bengal,66,45,21,6,6,1,103
4/12/2020,west bengal,79,41,31,6,5,1,119.0833333
4/13/2020,west bengal,80,38,23,5,5,1,119.1666667
4/14/2020,west bengal,74,44,26,6,5,1,112.4166667
4/15/2020,west bengal,80,46,27,8,5,2,122.9166667
4/16/2020,west bengal,88,36,25,6,5,1,131.0833333
4/17/2020,west bengal,77,30,26,7,5,1,117.6666667
4/18/2020,west bengal,62,25,30,9,6,1,101.4166667
4/19/2020,west bengal,54,26,26,6,5,1,85.75
4/20/2020,west bengal,55,21,29,10,6,1,93.33333333
4/21/2020,west bengal,50,23,26,8,6,1,84.16666667
4/22/2020,west bengal,59,22,19,7,4,1,92.41666667
4/23/2020,west bengal,53,19,24,7,4,1,84.41666667
4/24/2020,west bengal,44,23,26,7,3,1,71.16666667
4/25/2020,west bengal,52,23,26,7,3,1,81.83333333
4/26/2020,west bengal,55,15,17,6,3,1,84.58333333
4/27/2020,west bengal,39,15,18,6,3,1,63.25
4/28/2020,west bengal,33,25,26,8,3,1,57.75
4/29/2020,west bengal,65,21,26,7,3,1,99.16666667
4/30/2020,west bengal,54,18,23,6,3, ,83.25
3/1/2020,west bengal,186,134,23,32,12,7,303
3/2/2020,west bengal,182,93,10,32,8,5,292.6666667
3/3/2020,west bengal,166,76,21,23,9,4,261.3333333
3/4/2020,west bengal,150,81,17,24,9,4,241.25
3/5/2020,west bengal,127,71,19,17,9,3,201.8333333
3/6/2020,west bengal,121,51,15,15,7,3,188.8333333
3/7/2020,west bengal,107,72,20,21,8,5,178.9166667
3/8/2020,west bengal,128,83,27,22,9,3,209.4166667
3/9/2020,west bengal,144,84,28,25,9,4,234.5
3/10/2020,west bengal,153,82,36,24,10,3,246.5
3/11/2020,west bengal,150,88,21,24,10,4,242.5
3/12/2020,west bengal,159,86,34,25,10,4,255.75
3/13/2020,west bengal,156,70,25,14,8,2,235.5
3/14/2020,west bengal,103,47,22,19,8,3,171.0833333
3/15/2020,west bengal,75,80,28,22,11,4,141.25
3/16/2020,west bengal,150,85,42,19,8,3,233.75
3/17/2020,west bengal,156,113,21,24,7,5,246.75
3/18/2020,west bengal,171,98,40,25,9,5,270.5
3/19/2020,west bengal,154,68,32,20,9,3,241.5833333
3/20/2020,west bengal,120,79,31,19,7,1,192.5
3/21/2020,west bengal,132,32,23,13,6, ,199.75
3/22/2020,west bengal,60,53,30,13,6,1,103.75
3/23/2020,west bengal,102,55,31,11,6,2,157.25
3/24/2020,west bengal,108,73,23,12,6,2,166.5
3/25/2020,west bengal,152,58,28,11,6,2,223.9166667
3/26/2020,west bengal,112,73,31,10,6,1,169.3333333
3/27/2020,west bengal,140,68,8,11,6,2,207.9166667
3/28/2020,west bengal,134,59,9,10,6,2,198.6666667
3/29/2020,west bengal,115,65,26,12,7,1,177.0833333
3/30/2020,west bengal,115,65,24,11,7,2,175.8333333
3/31/2020,west bengal,127,68,26,9,6,2,188.0833333
2/1/2020,west bengal,106,225,33,31,13,5,196.3333333
2/2/2020,west bengal,100,110,30,28,11,6,182.0833333
2/3/2020,west bengal,117,154,32,38,16,7,223.5
2/4/2020,west bengal,172,226,33,40,25,6,310.5833333
2/5/2020,west bengal,177,169,25,31,16,6,294.75
2/6/2020,west bengal,180,164,19,28,15,6,293.75
