,States,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
0,Andhra Pradesh,53648,56539,52012,52517,51951,51571,51559,28389.0,31900.0,33051.0
1,Arunachal Pradesh,68523,68382,68223,67872,68278,68568,68437,68009.0,67771.0,67536.0
2,Assam,29656,28761,29129,29229,29349,29390,29227,29236.0,29601.0,29735.0
3,Bihar,9413,7178,8101,9312,8676,7927,7743,9470.0,9562.0,9309.0
4,Chhattisgarh,59983,62721,60355,60129,59961,59864,59326,59215.0,59380.0,59859.0
5,Delhi,151,268,283,292,296,290,294,299.77,305.40999999999997,324.44
6,Goa,2157,2292,2432,2428,2439,2442,2498,2549.0,2552.0,2509.0
7,Gujarat,19188,25532,22336,22625,23173,22783,23073,22574.0,22781.0,21769.0
8,Haryana,3280,2932,3152,3081,2964,2912,2869,2939.0,3003.0,3167.0
9,Himachal Pradesh,14757,14844,15078,15341,15148,14976,15066,15453.0,15922.0,16263.0
10,Jammu & Kashmir,23454,25093,26906,28884,28740,27817,28937,31342.0,31056.0,31556.0
11,Jharkhand,25331,27728,25671,25950,25837,25630,25220,26261.0,26475.0,26268.0
12,Karnataka,44437,41820,40718,41765,42002,42182,41171,41973.0,43263.0,44832.0
13,Kerala,16706,17480,18227,20040,19251,18332,18741,22190.0,23280.0,24080.0
14,Madhya Pradesh,83016,83679,82280,84269,83935,83519,83100,85235.0,85487.0,85821.0
15,Maharashtra,55751,56185,56454,59872,58223,55944,56618,60186.0,60513.0,61584.0
16,Manipur,17021,17355,17228,17449,17446,17412,17310,17237.0,17566.0,17020.0
17,Meghalaya,15724,17191,17393,17794,17622,17417,17656,17927.0,17803.0,17829.0
18,Mizoram,17589,18560,18806,19387,19007,18620,18907,19283.0,18653.0,18447.0
19,Nagaland,13415,13826,13957,13733,13836,13931,14091,13347.0,12868.0,12848.0
20,Orissa,53202,54747,52972,53371,53045,52667,52387,54340.0,55338.0,56267.0
21,Punjab,4066,3188,3381,3425,3321,3279,3057,3315.0,3459.0,3441.0
22,Rajasthan,21653,24464,24229,24362,24205,24098,23710,24440.0,24838.0,24742.0
23,Sikkim,3207,3284,3289,3380,3329,3287,3293,3392.0,3379.0,3378.0
24,Tamil Nadu,27536,27634,28665,28632,27958,27361,27910,30850.0,30952.0,31194.0
25,Telangana,0,0,0,0,0,0,0,24140.0,23088.0,23096.0
26,Tripura,7133,8209,8289,8225,8254,8277,8368,8044.0,7941.0,7957.0
27,Uttar Pradesh,21291,21833,22330,22133,21610,21500,21022,21505.0,22121.0,22148.0
28,Uttarakhand,24386,25036,25100,25156,25145,25107,25145,24992.0,25062.0,25144.0
29,West Bengal,13957,14074,14682,15357,15126,14678,14557,18916.0,18983.0,18908.0
30,A & N Islands,7013,6997,6682,6710,6857,7003,6670,6788.0,6777.0,6784.0
31,Chandigarh,11,23,24,27,27,25,25,31.03,31.56,47.03
32,Dadra & Nagar Haveli,246,260,249,238,245,254,250,234.0,237.0,235.0
33,Daman & Diu,10,14,17,15,16,17,17,29.61,30.49,25.49
34,Lakshadweep,27,25,29,30,28,28,30,31.06,29.1,27.39
35,Pondicherry,71,75,84,82,76,71,71,82.38,80.67,75.41
