State/UT,Geographical Area_1-13,Geographical Area_15-19,Very dense forest-2001,Open forest-2001,Total-2001,Very dense forest-2003,Mod. dense forest-2003,Open forest-2003,Total-2003,Very dense forest-2005,Mod. dense forest-2005,Open forest-2005,Total-2005,Very dense forest-2007,Mod. dense forest-2007,Open forest-2007,Total-2007,Very dense forest-2011,Mod. dense forest-2011,Open forest-2011,Total-2011,Very dense forest-2013,Mod. dense forest-2013,Open forest-2013,Total-2013,Very dense forest-2015,Mod. dense forest-2015,Open forest-2015,Total-2015,Very dense forest-2017,Mod. dense forest-2017,Open forest-2017,Total-2017,Very dense forest-2019,Mod. dense forest-2019,Open forest-2019,Total-2019,Tree_Cover-2001,Tree_Cover-2003,Tree_Cover-2005,Tree_Cover-2009,Tree_Cover-2011,Tree_Cover-2013,Tree_Cover-2015,Tree_Cover-2017,Tree_Cover-2019
Andhra Pradesh,275069,160204,25827,18810,44637,23,24356,20040,44419,130,24199,20043,44372,820,24757,19525,45102,23,24356,20040,44419,130,24199,20043,44372,375,13093,10956,24424,1957,14051,12139,28147,1994,13938,13205,29137,9011,12120,7640,7191,7152,7187,3965,3753,3914
Arunachal Pradesh,83743,83743,53932,14113,68045,13907,39604,14508,68019,14411,37977,15389,67777,20858,31556,14939,67353,13907,39604,14508,68019,14411,37977,15389,67777,20804,31301,15143,67248,20721,30955,15288,66964,21095,30557,15036,66688,478,363,446,592,549,660,761,807,848
Assam,78438,78438,15830,11884,27714,1684,11358,14784,27826,1444,11387,14814,27645,1461,11558,14673,27692,1684,11358,14784,27826,1444,11387,14814,27645,1441,11268,14914,27623,2797,10192,15116,28105,2795,10279,15253,28327,1942,935,1484,1590,1564,1582,1613,1496,1408
Bihar,94163,94163,3372,2348,5720,76,2951,2531,5558,110,3004,2465,5579,231,3248,3325,6804,76,2951,2531,5558,110,3004,2465,5579,248,3376,3664,7288,332,3260,3707,7299,333,3280,3693,7306,3693,1620,2522,2495,2369,2164,2182,2263,2003
Chhattisgarh,135191,135191,37880,18568,56448,1540,37440,17018,55998,2256,36472,17135,55863,4162,35038,16670,55870,1540,37440,17018,55998,2256,36472,17135,55863,4152,34846,16588,55586,7064,32215,16268,55547,7068,32198,16345,55611,3535,6723,4492,4027,3866,3463,3629,3833,4248
Delhi,1483,1483,38,73,111,0,52,118,170,0,54,122,176,7,50,120,177,0,52,118,170,0,54,122,176,7,57,124,189,7,56,130,192,7,56,132,195,40,98,107,123,120,118,111,113,129
Goa,3702,3702,1785,310,2095,0,1255,901,2156,55,1095,1014,2164,511,624,1016,2151,0,1255,901,2156,55,1095,1014,2164,542,580,1102,2224,5,576,1115,2229,538,576,1123,2237,62,136,268,286,286,334,325,323,272
Gujarat,196022,196022,8673,6479,15152,114,6231,8601,14946,114,6024,8577,14715,376,5249,8995,14620,114,6231,8601,14946,114,6024,8577,14715,376,5220,9064,14660,378,5200,9179,14757,378,5092,9387,14857,4036,10586,7621,8390,7837,8358,7914,8024,6912
Haryana,44212,44212,1139,615,1754,2,518,997,1517,3,523,1061,1587,27,463,1104,1594,2,518,997,1517,3,523,1061,1587,27,452,1105,1584,28,452,1108,1588,28,451,1123,1602,1526,1415,1565,1409,1395,1282,1355,1415,1564
Himachal Pradesh,55673,55673,10429,3931,14360,1093,7883,5377,14353,1097,7831,5441,14369,3224,6383,5061,14668,1093,7883,5377,14353,1097,7831,5441,14369,3224,6381,5091,14696,3110,6705,5285,15100,3113,7126,5195,15434,397,491,709,638,623,697,757,822,829
Jammu & Kashmir,222236,222236,11848,9389,21237,2102,8395,10770,21267,2135,8394,10744,21273,4298,8977,9411,22686,2102,8395,10770,21267,2135,8394,10744,21273,4061,8815,10112,22988,4075,8579,10587,23241,4281,8612,10719,23612,2217,3826,5633,6764,6550,7664,8354,7815,7944
